,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
135,"Sea View Amazing Room, AC, Balcony & Breakfast Set",4.11,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
136,Rock beach House,4.67,"₹3,500 per night",4 guests,2 bedrooms,3 beds,1.5 bathrooms
137,The Citrus Room at MANTRA Pondicherry,4.93,"₹3,500 per night",2 guests,1 bedroom,1 bed,1 shared
138,Kariappa House-Private Room F (Garden & Pool),4.95,"₹5,175 per night",2 guests,1 bedroom,1 bed,1 private
139,"Shanti, Gaia's Garden Guest House in Auroville",4.67,"₹1,875 per night",3 guests,1 bedroom,2 beds,1 private
140,Villa FAURE,4.40,"₹1,200 per night",2 guests,1 bedroom,1 bed,1 bathroom
141,Maison Raja -  single Bedroom Service Apartments,4.75,"₹1,257 per night",2 guests,1 bedroom,1 bed,1 bathroom
142,C- Lemon  Tree Hut -Near Auroville,4.95,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
143,Sea view Apartment Premium A/C room.,4.72,"₹1,600 per night",2 guests,1 bedroom,2 beds,1 private
144,The Tea Road Deluxe Room,4.45,"₹1,555 per night",2 guests,1 bedroom,2 beds,1 bathroom
145,Villa Helena Double room & gourmet breakfast,5.0,"₹2,999 per night",2 guests,1 bedroom,0 beds,1 private
146,Joseph Apartment,4.50,"₹3,300 per night",4 guests,2 bedrooms,2 beds,1.5 bathrooms
147,voguenvilla unit A,4.88,"₹1,100 per night",2 guests,1 bedroom,1 bed,1 bathroom
148,The Lotus Room- MANTRA Pondicherry,4.71,"₹4,184 per night",2 guests,1 bedroom,2 beds,1 bathroom
149,Chambre budget climatisée au calme rue Suffren,4.80,"₹1,800 per night",2 guests,1 bedroom,1 bed,1 private
150,Aditya House near Auroville Beach : Natur's Heaven,4.75,"₹1,000 per night",2 guests,1 bedroom,2 beds,1 private
151,Le Mission Stay - 201 White Town,4.42,"₹2,457 per night",6 guests,1 bedroom,2 beds,1 bathroom
152,"Deluxe Room 4 in ""Kavas Yoga Retreat"" Auroville",5.0,"₹2,499 per night",2 guests,1 bedroom,1 bed,1 private
153,Villa Krish- A Finest Boutique hotel @ white town,4.50,"₹3,000 per night",16 guests,10 bedrooms,10 beds,8 bathrooms
154,Beatitude 2,4.0,"₹1,350 per night",2 guests,1 bedroom,1 bed,1 bathroom
155,B- Lemon  Tree Hut -  Near Auroville,4.91,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
156,A La Villa Creole / Unique thatch cabin,4.51,"₹1,000 per night",2 guests,Studio ·,bed ·,shared bathrooms
157,"Familyunit 3, Gaia's Garden Guesthouse,  Auroville",4.84,"₹3,350 per night",5 guests,1 bedroom,4 beds,1 bathroom
158,"Eva, Gaia's Garden Guest House in Auroville",4.56,"₹1,875 per night",4 guests,1 bedroom,1 bed,1 private
159,New 2 bedroom apart furnished and air conditioned,4.46,"₹1,500 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
160,Nanda House - full residence near Auroville,5.0,"₹2,500 per night",3 guests,2 bedrooms,2 beds,1 bathroom
161,Tamil house near White Town,4.42,"₹4,500 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
162,Beautiful new build house pondicherry 2nd floor,4.54,"₹2,300 per night",4 guests,2 bedrooms,2 beds,3 bathrooms
163,Beach Bubble,4.63,"₹3,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
164,Four Pearls- 154 Pearl Beach on the ECR near Pondy,4.67,"₹22,300 per night",12 guests,4 bedrooms,4 beds,4 bathrooms
165,Sincerity 2nd Apartment- 2BHK-White Town- 4 guest,4.69,"₹2,143 per night",4 guests,2 bedrooms,4 beds,2 bathrooms
166,Sun Farm Home Stay,4.67,"₹3,200 per night",2 guests,1 bedroom,1 bed,1 private
167,"The Jasmine Room, Auroville (Double + Single)",4.88,"₹1,300 per night",2 guests,1 bedroom,2 beds,1.5 bathrooms
168,Purple Patch: bright independent room with A/C,4.90,"₹1,794 per night",4 guests,1 bedroom,1 bed,1 private
169,Blue Berry(E) -Glutotel homestay near Auroville,5.0,"₹1,286 per night",2 guests,1 bedroom,2 beds,1 private
170,Dharmakanni Tropical Hut- for 6-8 with sea view,4.50,"₹2,500 per night",4 guests,1 bedroom,2 beds,2 shared
171,Unique thatch cabin 2,4.29,₹740 per night,2 guests,1 bedroom,1 bed,2 shared
172,ABRA–The Courtyard Villa #Lotus(Private Room),4.94,"₹5,500 per night",2 guests,1 bedroom,1 bed,1 private
173,Beach studio next to Quiet/Serenity,4.40,"₹3,000 per night",3 guests,Studio ·,beds ·,bathroom
174,Family Home #2BHK(AC & Wi-fi) @ BEST PRICE,4.45,"₹1,914 per night",5 guests,2 bedrooms,3 beds,2 bathrooms
175,"Maison Raja, single Bedroom Service Apartment",4.67,"₹1,229 per night",2 guests,1 bedroom,2 beds,1 bathroom
176,Aurodaya,4.55,₹893 per night,2 guests,Studio ·,beds ·,private bathroom
177,RiyaVille,4.72,"₹3,600 per night",10 guests,3 bedrooms,4 beds,2 bathrooms
178,Omkara Retreat,4.57,"₹8,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
179,"The Jasmine Room, Auroville (Double + Single)",4.88,"₹1,300 per night",2 guests,1 bedroom,2 beds,1.5 bathrooms
180,Ta Volonté - Luxury & Elegance next to Beach Road,4.91,"₹5,599 per night",7 guests,2 bedrooms,5 beds,2 bathrooms
181,Le soleil -Beach View Fan Room,4.80,"₹3,000 per night",2 guests,1 bedroom,1 bed,1 shared
182,"Pondy Breeze, near beach",4.90,"₹2,143 per night",4 guests,2 bedrooms,3 beds,1 bathroom
