,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
140,PrivateStudio/AC-WIFI-Private Kitchen Nr. Manyata!,4.44,"₹1,150 per night",4 guests,1 bedroom,2 beds,1.5 bathrooms
141,1 BHK Penthouse apartment in Central location,4.67,"₹1,357 per night",2 guests,1 bedroom,1 bed,1 bathroom
142,Luxury 1bhk  close to wipro Infosys narayana,4.81,"₹1,499 per night",2 guests,1 bedroom,1 bed,1 bathroom
143,Retreat AC Room @ BTM Layout,4.75,₹870 per night,2 guests,1 bedroom,1 bed,1 shared
144,Beautiful studio near Jp nagar and BG road,5.0,₹950 per night,2 guests,Studio ·,bed ·,bathroom
145,BOUTIQUE DISTRACTION FREE SPACE IN KORAMANGALA,4.67,₹856 per night,2 guests,1 bedroom,2 beds,1 private
146,2BHKNr.RevaCollege&Yelahanka-AC-WIFI-PrivateKitchn,4.92,"₹1,500 per night",6 guests,2 bedrooms,2 beds,2.5 bathrooms
147,"Entire 1 BHK , Couple Friendly,BTM 1st stage",4.82,₹999 per night,3 guests,1 bedroom,1 bed,1 bathroom
148,The Bumblebees Nest,4.67,₹999 per night,4 guests,1 bedroom,2 beds,1 bathroom
149,Duplex with Private terrace and study,4.83,₹829 per night,2 guests,1 bedroom,1 bed,1.5 bathrooms
150,Small studio room in jp nagar 7th phase,5.0,₹747 per night,1 guest,Studio ·,bed ·,bathroom
151,Green Paradise Koramangala !!!-2[Vaccinated Staff],5.0,₹742 per night,2 guests,1 bedroom,1 bed,1 private
152,Beautiful Private Room In A Villa Koramangala,4.54,"₹1,149 per night",2 guests,1 bedroom,2 beds,1 private
153,Oberhome Independent Villa-Outdoor Jaccuzi & Grill,4.74,"₹7,643 per night",8 guests,4 bedrooms,4 beds,4 bathrooms
154,1BHK in Koramangala for Work / Holiday,4.50,"₹1,400 per night",2 guests,1 bedroom,1 bed,1 bathroom
155,Utopia - Room with Private Balcony,4.90,₹990 per night,2 guests,1 bedroom,1 bed,1 private
156,Well furnished Studio apartment with SPECIALoffers,5.0,₹748 per night,2 guests,Studio ·,bed ·,bathroom
157,Tranquil Escape Pad in the Heart of the City,4.50,"₹2,500 per night",4 guests,1 bedroom,1 bed,1.5 bathrooms
158,DBrooks Boys Hostel Stay,4.71,₹740 per night,1 guest,Studio ·,bed ·,private bathroom
159,1 Bedroom Service Apartment near Manyata Tech Park,4.63,"₹1,399 per night",3 guests,1 bedroom,1 bed,1 bathroom
160,The Eden Suite - A Self-Serviced Residence,5.0,"₹2,999 per night",4 guests,1 bedroom,1 bed,1 bathroom
161,Altus Penthouse,4.85,"₹6,471 per night",6 guests,3 bedrooms,4 beds,4 bathrooms
162,Betania (The Garden House),4.90,₹890 per night,4 guests,1 bedroom,1 bed,1 bathroom
163,1 BHK Penthouse apartment in Central location,4.67,"₹1,357 per night",2 guests,1 bedroom,1 bed,1 bathroom
164,Private room in an airy penthouse in Indiranagar,4.91,"₹1,200 per night",2 guests,1 bedroom,1 bed,1 private
165,Cosy studio flat at Bangalore for short/long stay.,4.67,₹750 per night,2 guests,Studio ·,bed ·,bathroom
166,Trekker's Paradise - Nanda Devi,4.71,₹750 per night,2 guests,1 bedroom,1 bed,1 private
167,Beautiful studio near Jp nagar and BG road,5.0,₹950 per night,2 guests,Studio ·,bed ·,bathroom
168,The House of Dreams @ BTM 2nd Stage,4.67,"₹3,699 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
169,The Chalet Suite a Self-Serviced Residence,5.0,"₹1,499 per night",2 guests,1 bedroom,1 bed,1 bathroom
170,"OLIVE - Classic 1 BHK @ HSR Layout ""Monthly Offer""",4.93,"₹3,292 per night",3 guests,1 bedroom,1 bed,1 bathroom
171,1BHK Apartment With Kitchen Facilities,4.66,"₹1,800 per night",3 guests,1 bedroom,1 bed,1 bathroom
172,"Entire 1 BHK , Couple Friendly,BTM 1st stage",4.39,"₹1,250 per night",3 guests,1 bedroom,1 bed,1 bathroom
173,Luxurious 1BHK studio house (entire place),4.92,"₹1,199 per night",2 guests,1 bedroom,1 bed,1 bathroom
174,201 Studio Apartment - Emerald Suites,5.0,"₹1,102 per night",2 guests,Studio ·,bed ·,bathroom
175,Traveller's Home - home away from home,5.0,₹999 per night,2 guests,1 bedroom,1 bed,1 private
176,Furnished 1 BHK Apartment-Wifi-Balcony-Sanitized,5.0,"₹1,264 per night",4 guests,1 bedroom,2 beds,1 bathroom
177,Penthouse apartment with Private terrace,4.69,"₹3,200 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
178,Luxurious Corporate Stay inside Manyata Tech Park,4.71,"₹1,743 per night",4 guests,1 bedroom,2 beds,1.5 bathrooms
179,Spacious Terrace Room | Noise-Pollution Free,4.95,₹740 per night,1 guest,Studio ·,bed ·,private bathroom
180,Room With a Terrace in HSR Layout,5.0,₹800 per night,2 guests,1 bedroom,1 bed,1 private
181,"Budget hotel @ GandhiNagar, Majestic - Non/AC Room",4.33,₹988 per night,3 guests,1 bedroom,1 private,
182,Omatra Alchemy Suites,4.73,"₹1,191 per night",2 guests,1 bedroom,1 private,
183,"Budget hotel @ GandhiNagar, Majestic - Non/AC Room",4.33,₹988 per night,3 guests,1 bedroom,1 private,
184,BOUTIQUE DISTRACTION FREE SPACE IN KORAMANGALA,4.67,₹856 per night,2 guests,1 bedroom,2 beds,1 private
185,🌺J K PARKVIEW 06 KORAMANAGALA 1BHK Couple Friendly,5.0,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
186,"Entire 1 BHK ,couple friendly, 1 km frm forum mall",4.90,"₹1,280 per night",3 guests,1 bedroom,1 bed,1 bathroom
187,"💫 Sparkle 2 Bhk❤
💫Pvt Cpl Friendly
203",5.0,"₹1,100 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
188,Luxury 1 BHK Apartment near Hebbal - Furnished,4.71,"₹1,200 per night",3 guests,1 bedroom,1 bed,1 bathroom
189,SINGLE ROOM STUDIO WITH PRIVATE ENTRY,4.71,₹854 per night,2 guests,1 bedroom,1 bed,1 bathroom
190,"Stay at a heritage cottage, in the center of BLR.",4.40,"₹1,650 per night",1 guest,1 bedroom,1 bed,1 private
191,Traveller's Home - home away from home,5.0,₹999 per night,2 guests,1 bedroom,1 bed,1 private
192,"OLIVE - Cozy Studio @ HSR Layout ""Monthly Offer""",4.80,"₹2,778 per night",3 guests,Studio ·,bed ·,bathroom
193,Sanitized & Hygienic Private Room with Big Terrace,4.56,₹999 per night,2 guests,1 bedroom,1 bed,1 private
194,Luxurious Corporate Stay inside Manyata Tech Park,4.71,"₹1,743 per night",4 guests,1 bedroom,2 beds,1.5 bathrooms
195,"Spacious 1BHK with carpark , terrace near HSR",4.76,"₹1,699 per night",4 guests,1 bedroom,3 beds,1 bathroom
