,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
126,North Goa Luxury Apartment near Candolim,4.71,"₹3,000 per night",5 guests,1 bedroom,2 beds,1.5 bathrooms
127,Pool Facing Apartment Best Location,4.74,"₹1,600 per night",4 guests,1 bedroom,2 beds,1 bathroom
128,Cute Riverside Cottage 2 mins to Morjim Beach,4.88,"₹1,450 per night",3 guests,1 bedroom,1 bed,1 private
129,"BLISSFUL Mountain view STUDIO, PALOLEM, SOUTH GOA.",4.91,"₹1,345 per night",3 guests,1 bedroom,2 beds,1 bathroom
130,Luxurious 5BHK Villa With a Caretaker in Vagator,4.89,"₹24,643 per night",15 guests,5 bedrooms,10 beds,5.5 bathrooms
131,Private cottage in Calangute Baga. Goa.,4.84,"₹2,500 per night",4 guests,1 bedroom,1 bed,1 bathroom
132,Cozy studio with Kitchenette with free Wifi,4.56,₹740 per night,2 guests,1 bedroom,1 bed,1 bathroom
133,(S1) 1BHK CANDOLIM /CALANGUTE   STAWIL APARTMENTS,5.0,"₹1,299 per night",2 guests,1 bedroom,1 bed,1 bathroom
134,"Fully Furnished Studio Apart,Siolim",4.70,"₹1,443 per night",3 guests,1 bedroom,1 bed,1 bathroom
135,Luxurious 8 BHK Villa with a Private Pool,4.17,"₹15,543 per night",16 guests,8 bedrooms,8 beds,8 bathrooms
136,My Sunshine,4.58,₹961 per night,2 guests,1 bedroom,1 bed,1 private
137,Luxurious Apartment with a Pool near Candolim,4.63,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
138,Trendy 2BhK with Private garden - Candolim side,4.80,"₹5,739 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
139,AC Studio Room With Swimming pool 1 (Palm Shades Springs),4.84,"₹1,400 per night",2 guests,Studio ·,beds ·,bathroom
140,Nesta By CasaFlip : 2BHK Apartment Anjuna/Vagator,5.0,"₹4,181 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
141,Pond Side Room for Working Vacation,4.81,"₹2,249 per night",2 guests,1 bedroom,1 bed,1 bathroom
142,luxrious and lavish 3bhk flat🏠near Calangute🏖,4.78,"₹4,086 per night",8 guests,3 bedrooms,3 beds,2 bathrooms
143,Charming one bedroom apartment Near Candolim beach,4.79,"₹2,899 per night",4 guests,1 bedroom,3 beds,1 bathroom
144,Comfy 2 BHK - Walking distance from Anjuna Beach,5.0,"₹3,142 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
145,Quinta da Santana- Luxury Country Villa 2,4.91,"₹3,200 per night",2 guests,1 bedroom,1 bed,1 bathroom
146,Trendy 2BhK with Private garden - Candolim side,4.80,"₹5,739 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
147,The Jacuzzi Suite,4.90,"₹3,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
148,Talpona Paradise Beach House,4.65,"₹3,000 per night",5 guests,2 bedrooms,3 beds,2 bathrooms
149,Couple Nest A Beautiful Fully Furnished Studio,4.63,"₹1,628 per night",4 guests,1 bedroom,1 bed,1 bathroom
150,Cherish Red Spinel De'Villa|1BR|Poetic Stay at Goa,4.75,"₹1,358 per night",2 guests,1 bedroom,1 bed,1 bathroom
151,Private Pool Villa in Goa,4.64,"₹9,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
152,Luxurious Apartment with a Pool near Candolim,4.63,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
153,"Abstract Suite, Art Themed Apt with Forest View & Swing",4.95,"₹3,500 per night",3 guests,1 bedroom,2 beds,1 bathroom
154,Octopus Luxury Studio Apartment,4.64,₹970 per night,3 guests,Studio ·,bed ·,private bathroom
155,Awesome 1 BHK Apt Riviera Foothills Nr Baga,4.55,"₹1,028 per night",4 guests,1 bedroom,1 bed,1 bathroom
156,"S4 - Elegant, bright, pool-view villa, South Goa",4.67,"₹3,000 per night",5 guests,3 bedrooms,3 beds,3 bathrooms
157,Nihals 1 BHK apartment with swimming pool,4.39,₹999 per night,6 guests,1 bedroom,1 bed,1 bathroom
158,Artist's home with pool in Assagao,5.0,"₹2,999 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
159,Stunning homestay by Anjuna Beach near Curlies,4.85,"₹1,550 per night",3 guests,1 bedroom,2 beds,1 private
160,Brand new garden apartment at heart of Vagator,4.75,"₹6,243 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
161,Gorgeous high end 2 bedroom apartment with garden,4.38,"₹3,521 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
162,(Monthly available) 2 Bhk HOUSE in a quiet village,4.59,"₹1,159 per night",14 guests,2 bedrooms,9 beds,2 bathrooms
163,Jungle View Wooden Cottage-10% OFF Monthly Dis,4.73,"₹2,200 per night",3 guests,1 bedroom,1 bed,1 private
164,The Loja by the water - a safe workation place,4.97,"₹2,500 per night",2 guests,Studio ·,beds ·,bathroom
165,Luxurious Apartment with a Pool near Candolim,4.14,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
166,Luxurious Apartment with a Pool near Candolim,4.20,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
167,La Verde - 3BHK Villa Private Pool amidst nature,4.80,"₹8,714 per night",8 guests,3 bedrooms,3 beds,3 bathrooms
168,Cozy (Govt Approved) AC Studio Apartment in Panjim,4.65,"₹1,199 per night",3 guests,Studio ·,bed ·,bathroom
169,"A Cozy , peaceful & relaxing stay @ colva beach!",4.84,"₹1,751 per night",4 guests,1 bedroom,1 bed,1.5 bathrooms
170,Elegant apartment with Netflix and private garden,4.46,"₹6,329 per night",6 guests,2 bedrooms,3 beds,2 bathrooms
171,Frangipani Room - Calangute,4.81,"₹1,500 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
172,Luxurious Apartment with a Pool near Candolim,4.67,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
173,2BHK Budget Stay at Baga Beach,5.0,₹930 per night,8 guests,2 bedrooms,3 beds,1 bathroom
174,Near Palolem Beach.AC Studio.Wifi.Glass verandah..,5.0,"₹1,004 per night",2 guests,Studio ·,bed ·,bathroom
175,Tulsi Beach House,4.77,"₹4,000 per night",6 guests,2 bedrooms,2 beds,1 bathroom
176,❤Elegant 1BHK With High Speed Wi-Fi In Candolim❤,5.0,"₹1,387 per night",4 guests,1 bedroom,2 beds,1 bathroom
177,White House Prime avec breakfast R2,4.86,"₹1,145 per night",3 guests,1 bedroom,1 bed,1 private
178,The Jacuzzi Suite,4.90,"₹3,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
179,Jacuzzi | Beach Front | Air-con | Free Breakfast,4.75,"₹4,480 per night",2 guests,1 bedroom,1 bed,1 private
180,beach Holiday home Apartment,5.0,₹733 per night,3 guests,Studio ·,bed ·,bathrooms
181,Menon's at D4,4.94,"₹1,800 per night",3 guests,1 bedroom,1 bed,1 bathroom
182,Pond Side Room for Working Vacation,4.81,"₹2,249 per night",2 guests,1 bedroom,1 bed,1 bathroom
183,Nirvana Abode - G1 - Luxury Studio - Benaulim Goa,4.68,₹970 per night,3 guests,Studio ·,bed ·,bathroom
184,Cozy (Govt Approved) AC Studio Apartment in Panjim,4.58,"₹1,199 per night",3 guests,Studio ·,bed ·,bathroom
185,"Cherish Apatite 2BHK Pool View Apartment, Goa.",5.0,"₹2,183 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
186,Garden Side Room for Working Vacation,4.88,"₹2,249 per night",3 guests,1 bedroom,1 bed,1 bathroom
187,"Luxury art-themed apt, Siolim: The Graffiti Suite",4.98,"₹3,500 per night",4 guests,1 bedroom,3 beds,1 bathroom
188,Grand 3bhk Duplex Apartment with a Private Pool!,4.76,"₹8,500 per night",9 guests,3 bedrooms,4 beds,3 bathrooms
189,Vista Bellaire - 2BHK AC apt in Dona Paul,4.88,"₹1,750 per night",6 guests,2 bedrooms,2 beds,3 bathrooms
190,Calissa at Calangute - Your Perfect Stay,5.0,"₹2,549 per night",4 guests,1 bedroom,2 beds,1 bathroom
191,Charming one bedroom apartment Near Candolim beach,4.79,"₹2,899 per night",4 guests,1 bedroom,3 beds,1 bathroom
192,🏝1BHK Flat In Candolim Near Beach With Wi-Fi🏝,4.69,"₹1,400 per night",4 guests,1 bedroom,1 bed,1 bathroom
193,1 BHK AC Apartment with Pool for Family & Friends,4.37,₹985 per night,5 guests,1 bedroom,2 beds,1 bathroom
194,Luxury Serviced Studio Close To The Beach - Baga,4.86,"₹2,042 per night",2 guests,1 bedroom,1 bed,1 bathroom
195,"Melange Mystic - Near Baga, Calangute Anjuna beach",4.74,"₹2,000 per night",4 guests,1 bedroom,2 beds,1 bathroom
196,Beautiful Studio - Pool View Near Baga Beach 1110,5.0,"₹1,870 per night",3 guests,Studio ·,bed ·,bathroom
197,2 BHK Premium Apartment Near Baga Beach,4.27,"₹1,166 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
198,The Jacuzzi Suite,4.90,"₹3,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
199,Tulsi Beach House,4.77,"₹4,000 per night",6 guests,2 bedrooms,2 beds,1 bathroom
200,🌺🌿Spacious hilltop Studio Apt.@ Mays Villa,5.0,"₹1,800 per night",2 guests,Studio ·,bed ·,bathroom
201,2BHK Luxury Apartment near Candolim,4.86,"₹5,750 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
202,ROOFTOP 2 BEDROOM APARTMENT  RIVIERA SAPPHIRE,4.26,"₹2,070 per night",6 guests,2 bedrooms,3 beds,1 bathroom
203,Comfy 2 BHK - Walking distance from Anjuna Beach,5.0,"₹3,142 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
204,08Fully Furnished one Bedroom Apartment in Siolim,4.74,"₹1,657 per night",4 guests,1 bedroom,1 bed,1 bathroom
205,Woodstone Camelot Home,4.84,"₹2,634 per night",3 guests,1 bedroom,2 beds,1 bathroom
206,Snazzy Studio Space In Nerul With Infinity Pool,4.75,"₹3,990 per night",2 guests,Studio ·,bed ·,bathrooms
207,Scandinavian Abode | Pvt Pool + Jacuzzi on Terrace,4.86,"₹18,571 per night",7 guests,3 bedrooms,3 beds,4 bathrooms
208,4BHK Portuguese Villa With a Caretaker in Baga,4.59,"₹14,999 per night",10 guests,4 bedrooms,6 beds,4.5 bathrooms
209,Nihals 1 BHK apartment with swimming pool,4.39,₹999 per night,6 guests,1 bedroom,1 bed,1 bathroom
