,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
125,Mindtree Limited,4.0,(1722 Reviews),SEO Analytics - Module Lead/ Technical Lead,5-8 Yrs,Not disclosed,Chennai,"Analytical skills,Computer vision,deep learning,Neural networks,Machine learning,Algorithm development,SEO,Solution delivery",https://www.naukri.com/job-listings-seo-analytics-module-lead-technical-lead-mindtree-limited-chennai-5-to-8-years-040621500983?src=jobsearchDesk&sid=1626105810012128&xp=6&px=8,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
126,Compunnel Technology India Private Limited,2.9,(67 Reviews),Machine learning Engineer,3-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)","Tensorflow,Open NLP,Pandas,OpenCV,REST,Machine learning,Theano,Numpy",https://www.naukri.com/job-listings-machine-learning-engineer-compunnel-technology-india-private-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-trivandrum-thiruvananthapuram-mumbai-all-areas-3-to-7-years-300621001516?src=jobsearchDesk&sid=1626105810012128&xp=7&px=8,"Maintenance Engineer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Admin/Maintenance/Security/Datawarehousing,Any Graduate,,,
127,AUREUSTECH SYSTEMS PRIVATE LIMITED , , ,Bigdata Engineer - Fulltime,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Pyspark,Python,SQL,ETL,Spark,Machine Learning,API,Azure",https://www.naukri.com/job-listings-bigdata-engineer-fulltime-aureustech-systems-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-210621000821?src=jobsearchDesk&sid=1626105810012128&xp=8&px=8,"IT/Technical Content Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Other,B.Tech/B.E. in Any Specialization,,,
128,AUREUSTECH SYSTEMS PRIVATE LIMITED , , ,Bigdata Engineer - Fulltime,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Pyspark,Python,SQL,Sqoop,API,Spark,Hive,Hadoop",https://www.naukri.com/job-listings-bigdata-engineer-fulltime-aureustech-systems-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-210621000820?src=jobsearchDesk&sid=1626105810012128&xp=9&px=8,"IT/Technical Content Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Other,B.Tech/B.E. in Any Specialization,,,
129,Quattr Inc, , ,Senior Data Engineer,5-10 Yrs,"15,00,000 - 30,00,000 PA.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","SQL,AWS,Python,RDS,Leadership,Natural Language Processing,Machine Learning,Communication Skills",https://www.naukri.com/job-listings-senior-data-engineer-quattr-inc-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-260521000350?src=jobsearchDesk&sid=1626105810012128&xp=10&px=8,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Any Specialization,,,
130,Payoda Technologies Pvt. Ltd,3.8,(32 Reviews),Data Scientist,5-10 Yrs,Not disclosed,"Chennai, Coimbatore","Telecom,deep learning,Data management,data science,Machine learning,Manager Technology,model development,big data",https://www.naukri.com/job-listings-data-scientist-payoda-technologies-pvt-ltd-chennai-coimbatore-5-to-10-years-060121500435?src=jobsearchDesk&sid=1626105810012128&xp=11&px=8,"Clinical Research Associate/Scientist,","Recruitment / Staffing,","Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,","Full Time, Permanent",R&D,Any Graduate,Post Graduation Not Required,,
131,Inesh Management Consultancy  , , ,"Opening - Associate/Senior Associate(Machine Learning), Chennai.",3-5 Yrs,Not disclosed,Chennai,"C++,Image Processing,computerised Algorithm,Embedded,Signal Processing,Python",https://www.naukri.com/job-listings-opening-associate-senior-associate-machine-learning-chennai-inesh-management-consultancy-chennai-3-to-5-years-260621000534?src=jobsearchDesk&sid=1626105810012128&xp=12&px=8,"Software Developer,","Consumer Electronics & Appliances,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Any Specialization,,,
132,Diverse Lynx,2.9,(46 Reviews),Data Scientist,3-9 Yrs,Not disclosed,Chennai,"IT Skills,Java,Python,Data Science,Machine Learning,deep learning,Business Analyst,SCALA",https://www.naukri.com/job-listings-data-scientist-diverse-lynx-chennai-3-to-9-years-270820500324?src=jobsearchDesk&sid=1626105810012128&xp=13&px=8,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
133,Altimetrik India Pvt. Ltd,3.9,(237 Reviews),Data Analyst, ,Not disclosed,Chennai(WFH during Covid),"Spark,Agile,Hadoop,Hive,HDFS,Data Analysis,communication,Financial Accounting",https://www.naukri.com/job-listings-data-analyst-altimetrik-india-pvt-ltd-chennai-3-to-8-years-120721002932?src=jobsearchDesk&sid=1626105810012128&xp=14&px=8,"Business Analyst,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,,,
134,ERM Placement Services (P) Ltd. , , ,Advanced Analytics Competency- Job in Big4,4-7 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","analytical,AI,media analytics,Statistical analysis,Text Analytics,R,Python,Google analytics",https://www.naukri.com/job-listings-advanced-analytics-competency-in-big4-erm-placement-services-p-ltd-kolkata-hyderabad-secunderabad-ahmedabad-gurgaon-gurugram-chennai-bangalore-bengaluru-4-to-7-years-050621002106?src=jobsearchDesk&sid=1626105810012128&xp=15&px=8,"Data Analyst,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,"B.Tech/B.E. in Any Specialization, Any Graduate",Any Postgraduate,Any Doctorate,
