,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
179,Optum Global Solutions (India) Private Limited,4.1,(1205 Reviews),Senior Data Engineering Analyst,6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"PIG,Data Engineering,Hadoop Applications,Hbase,Data Engineering Analyst,Mule architecture,SQL,Hive",https://www.naukri.com/job-listings-senior-data-engineering-analyst-optum-global-solutions-india-private-limited-hyderabad-secunderabad-6-to-8-years-140621906976?src=jobsearchDesk&sid=16261461188952966&xp=20&px=10,"Business Analyst,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",System Design/Implementation/ERP/CRM,B.Tech/B.E. in Any Specialization,MCA in Computers,,
180,EnergyTech Global, , ,Senior Software Analyst (Data Engineer),3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Python,Software Development,AWS,Postgresql,Software Analyst,Desktop support,SQL",https://www.naukri.com/job-listings-senior-software-analyst-data-engineer-energytech-global-hyderabad-secunderabad-3-to-7-years-110621500792?src=jobsearchDesk&sid=16261465182033629&xp=1&px=11,"Software Developer,","IT Services & Consulting,","IT Software - System Programming,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Any Specialization,Any Postgraduate,,
181,Sigma Allied Services private Limited,3.7,(8 Reviews),Data Analyst,5-10 Yrs,"15,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Helthcare domain,Data Validation,SAS,Statistics,EHR,SQL,Provider,R",https://www.naukri.com/job-listings-data-analyst-sigma-allied-services-private-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-5-to-10-years-020621002115?src=jobsearchDesk&sid=16261465182033629&xp=2&px=11,"Data Analyst,","Recruitment / Staffing,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,Any Postgraduate,,
182,Capital Placement Services, , ,Data Analyst,1-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru","Computer science,Data analysis,Publishing,Excel,Analytical,Business intelligence,Database Administrator,digital transformation",https://www.naukri.com/job-listings-data-analyst-capital-placement-services-mumbai-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-1-to-6-years-210621500028?src=jobsearchDesk&sid=16261465182033629&xp=3&px=11,"Software Developer,","Recruitment / Staffing,","IT Software - Other,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
183,inVentiv International Pharma Services Pvt. Ltd.,4.2,(28 Reviews),Principal BT Data Analyst - Python,8-12 Yrs, Not Disclosed by Recruiter ,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Unix Scripting,Python,SQL,Salesforce",https://www.naukri.com/job-listings-principal-bt-data-analyst-python-inventiv-international-pharma-services-pvt-ltd-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-140621006174?src=jobsearchDesk&sid=16261465182033629&xp=4&px=11,Business Analyst,,"IT Software - Application Programming, Maintenance","Full Time, Permanent",System Design/Implementation/ERP/CRM,,,,Pharmaceutical & Life Sciences
184,CTG INFOTECH LLP, , ,Data Analyst/Information Analyst,7-9 Yrs,"2,50,000 - 7,50,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","ETL,Tools,Data Analytics",https://www.naukri.com/job-listings-data-analyst-information-analyst-ctg-infotech-llp-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-9-years-110621004979?src=jobsearchDesk&sid=16261465182033629&xp=5&px=11,"Business Analyst,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,,,
185,Diebold Nixdorf India Private Limited,3.8,(284 Reviews),Data Protection Analyst,3-5 Yrs," 10,00,000 - 14,00,000 P.A. ",Hyderabad/Secunderabad,"casb,Imperva,SAAS,Information Security,Dlp,Vulnerability Management,Encryption,data leakage",https://www.naukri.com/job-listings-data-protection-analyst-diebold-nixdorf-india-private-limited-hyderabad-secunderabad-3-to-5-years-120721006168?src=jobsearchDesk&sid=16261465182033629&xp=6&px=11,,,Other,"Full Time, Permanent",Other,,,,IT Services & Consulting
186,Clinnovo Research Labs Private Limited., , ,"Analysts & Programmers.,fresh Engineering Graduates-last Three Years",0-1 Yrs,"1,00,000 - 3,00,000 PA.",Hyderabad/Secunderabad,"R,SAS,Php,Java,opensource,Sql,Python,IT Skills",https://www.naukri.com/job-listings-analysts-programmers-fresh-engineering-graduates-last-three-years-clinnovo-research-labs-private-limited-hyderabad-secunderabad-0-to-1-years-010319005261?src=jobsearchDesk&sid=16261465182033629&xp=7&px=11,"Fresher,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Other,"Graduation Not Required, Any Graduate","Any Postgraduate, Post Graduation Not Required","Doctorate Not Required, Any Doctorate",
187,Hitachi Ltd.,4.0,(216 Reviews),Senior Data Scientist,7-12 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Telecom,Data analysis,Analytical,Machine learning,Healthcare,Product design,Japanese",https://www.naukri.com/job-listings-senior-data-scientist-hitachi-ltd-hyderabad-secunderabad-7-to-12-years-070721500339?src=jobsearchDesk&sid=16261465182033629&xp=8&px=11,"Technical Architect,","Consumer Electronics & Appliances,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
188,Prokarma Softech Pvt. Ltd.,3.6,(176 Reviews),Senior Data Scientist,5-8 Yrs, Not Disclosed by Recruiter ,Hyderabad/Secunderabad,"Computer science,Text mining,advanced analytics,Data analysis,MS Access,Analytical,Machine learning,Data mining",https://www.naukri.com/job-listings-senior-data-scientist-prokarma-softech-pvt-ltd-hyderabad-secunderabad-5-to-8-years-070721904852?src=jobsearchDesk&sid=16261465182033629&xp=9&px=11,System Analyst,,"IT Software - DBA, Datawarehousing","Full Time, Permanent",Programming & Design,,,,IT Services & Consulting
