,Company,Rating,Position,Experience,Salary,Location,Skills,Link
80,Lera Technologies Pvt.Ltd.,3.7,Director - Data Engineering,Lera Technologies Pvt.Ltd.,"25,00,000 - 35,00,000 PA.",Hyderabad/Secunderabad(Gachibowli),Data EngineeringETLData TransformationJavaMetadata ManagementBankingDatabase DesignBig Data,https://www.naukri.com/job-listings-director-data-engineering-lera-technologies-pvt-ltd-hyderabad-secunderabad-12-to-18-years-140621004653?src=jobsearchDesk&sid=16254106363745925&xp=1&px=6
81,CLEAN HARBORS INDIA LLP ,2.3,Financial Analyst,CLEAN HARBORS INDIA LLP ,Not disclosed,Hyderabad/Secunderabad,Power BIdata miningSQL Service ReportingwrittenMS Office suiteverbalanalyticalSQL,https://www.naukri.com/job-listings-financial-analyst-clean-harbors-india-llp-hyderabad-secunderabad-3-to-8-years-300621903622?src=jobsearchDesk&sid=16254106363745925&xp=2&px=6
82,AINE Info Tech Pvt Ltd,Nan,"Financial Research Analyst, Research Associate, Data Researcher",AINE Info Tech Pvt Ltd,"3,00,000 - 6,00,000 PA.","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Investment ResearchData ResearchFinancial AnalysisFinancial ResearchSecondary ResearchResearch AnalysisCompany AnalysisEquity Research,https://www.naukri.com/job-listings-financial-research-analyst-research-associate-data-researcher-aine-info-tech-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-030721000235?src=jobsearchDesk&sid=16254106363745925&xp=3&px=6
83,Tide Software,Nan,Lead Data Scientist,Tide Software,Not disclosed,Hyderabad/Secunderabad,IT SkillsData ScienceDevOpsProject ManagementBig DataAWSBPOBackend,https://www.naukri.com/job-listings-lead-data-scientist-tide-software-hyderabad-secunderabad-1-to-6-years-231220501535?src=jobsearchDesk&sid=16254106363745925&xp=4&px=6
84,PRIMUS Global Technologies Private Limited  ,Nan,Mindtree Hiring-Data ScienceWith Python _Bangalore,PRIMUS Global Technologies Private Limited  ,"12,00,000 - 22,00,000 PA.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data ScienceRXgboostNeural NetworksSQL DatabaseUnsupervised LearningDecision TreesMachine Learning,https://www.naukri.com/job-listings-mindtree-hiring-data-sciencewith-python-bangalore-primus-global-technologies-private-limited-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-230621600446?src=jobsearchDesk&sid=16254106363745925&xp=5&px=6
85,Seven Consultancy,Nan,Data Scientist,Seven Consultancy,Not disclosed,Hyderabad,Computer scienceadvanced analyticsData managementRenewable energydata sciencebig data analyticsAnalyticalWorkflow,https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hyderabad-secunderabad-3-to-5-years-260620501169?src=jobsearchDesk&sid=16254106363745925&xp=6&px=6
86,Peak,Nan,Data Scientist,Peak,Not disclosed,Hyderabad,LoansStatistical modelingWeb servicesdata scienceMachine learningNatural language processingData miningSQL,https://www.naukri.com/job-listings-data-scientist-peak-hyderabad-secunderabad-2-to-7-years-240221500874?src=jobsearchDesk&sid=16254106363745925&xp=7&px=6
87,Clifford Chance Business Services Private Limited,3.7,Data Scientist (Only For Hyderabad),Clifford Chance Business Services Private Limited,Not disclosed,Hyderabad/Secunderabad,Data ScienceNLPMachine Learning,https://www.naukri.com/job-listings-data-scientist-only-for-hyderabad-clifford-chance-business-services-private-limited-hyderabad-secunderabad-4-to-9-years-150521003143?src=jobsearchDesk&sid=16254106363745925&xp=8&px=6
88,ADP Solutions,4.2,Data Scientist,ADP Solutions,Not disclosed,Hyderabad/Secunderabad,BigdataTime Series AnalysisPower BIstatistical analysiswrittenverbaldata integrationR,https://www.naukri.com/job-listings-data-scientist-adp-pvt-ltd-hyderabad-secunderabad-5-to-10-years-110621008401?src=jobsearchDesk&sid=16254106363745925&xp=9&px=6
89,Sutherland Global Services Private Limited,3.8,Data Scientist Professional,Sutherland Global Services Private Limited,Not disclosed,Hyderabad/Secunderabad,communicationRSASSQLPythonText AnalyticsanalyticalData Science,https://www.naukri.com/job-listings-data-scientist-professional-sutherland-global-services-private-limited-hyderabad-secunderabad-4-to-8-years-090621002593?src=jobsearchDesk&sid=16254106363745925&xp=10&px=6
