,Company,Rating,Position,Experience,Salary,Location,Skills,Link
45,Virtusa Consulting Services Pvt Ltd,3.4,Data science Managers - Immediate Joiners,Virtusa Consulting Services Pvt Ltd,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",IT SkillsPythonTestingData ScienceMachine LearningTableauPower BIR,https://www.naukri.com/job-listings-data-science-managers-immediate-joiners-virtusa-consulting-services-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-20-years-120521005153?src=jobsearchDesk&sid=16254085052034419&xp=6&px=4
46,DataTrained,4.4,Data Science Intern,DataTrained,Not disclosed,"Noida, Bengaluru",Computer scienceSANFrenchdata scienceInternAnalyticalMachine learningPredictive modeling,https://www.naukri.com/job-listings-data-science-intern-datatrained-noida-bengaluru-bangalore-0-to-2-years-040620500786?src=jobsearchDesk&sid=16254085052034419&xp=7&px=4
47,Mindtree Limited,4.0,Senior Project Manager -- Data Science,Mindtree Limited,Not disclosed,Bangalore/Bengaluru,Business processRetailInterpersonal skillsdata scienceBusiness AnalystData modelingConsultingData analytics,https://www.naukri.com/job-listings-senior-project-manager-data-science-mindtree-limited-bangalore-bengaluru-7-to-10-years-140521500819?src=jobsearchDesk&sid=16254085052034419&xp=8&px=4
48,Mindtree Limited,4.0,Data Science -- Senior Project Manager,Mindtree Limited,Not disclosed,Bangalore/Bengaluru,requirements gatheringdata gathering analysismachine learninganalyticalData analysisProduct engineeringNetwork designPrototype,https://www.naukri.com/job-listings-data-science-senior-project-manager-mindtree-limited-bangalore-bengaluru-7-to-10-years-170521500550?src=jobsearchDesk&sid=16254085052034419&xp=9&px=4
49,MarketScope,Nan,Mentor - Data Analyst/Data Science,MarketScope,Not disclosed,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",ScalaPentahoLinuxGGPlotBig DataNoSQLTableauSpark,https://www.naukri.com/job-listings-mentor-data-analyst-data-science-marketscope-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-3-to-5-years-050521905479?src=jobsearchDesk&sid=16254085052034419&xp=10&px=4
50,Catalyst,Nan,Data Science/ Analysis Expert - Machine Learning,Catalyst,Not disclosed,Bangalore/Bengaluru,Regression AlgorithmsNLPData ScientistArtificial IntelligenceData ModelingData WarehousingData AnalyticsETL,https://www.naukri.com/job-listings-data-science-analysis-expert-machine-learning-catalyst-bangalore-bengaluru-2-to-6-years-280720902564?src=jobsearchDesk&sid=16254085052034419&xp=11&px=4
51,Data is Good,Nan,Data Science Content Developer,Data is Good,"1,75,000 - 2,50,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data SciencePython DashExcelContent DevelopmentR ProgrammingStatistics and ProbabilityR ShinyWeb Scraping,https://www.naukri.com/job-listings-data-science-content-developer-data-is-good-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-1-years-160621002732?src=jobsearchDesk&sid=16254085052034419&xp=12&px=4
52,Amploy.io,Nan,Data Science Intern (remote),Amploy.io,"13,00,000 - 18,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data ScienceApplication ProgrammingSoftware DevelopmentAIITCareer DevelopmentMachine LearningStartup,https://www.naukri.com/job-listings-data-science-intern-remote-amploy-io-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-070621001131?src=jobsearchDesk&sid=16254085052034419&xp=13&px=4
53,ALTAIR DEVELOPERS PRIVATE LIMITED,3.9,QA Data Science Intern,ALTAIR DEVELOPERS PRIVATE LIMITED,Not disclosed,Bangalore/Bengaluru,IT SkillsJavaPythonData ScienceOracleQAInternSimulation,https://www.naukri.com/job-listings-qa-data-science-intern-altair-developers-private-limited-bangalore-bengaluru-0-to-1-years-020321500786?src=jobsearchDesk&sid=16254085052034419&xp=14&px=4
54,Winwire Technologies India Pvt. Ltd.,3.9,Data Science Module/Technical Lead,Winwire Technologies India Pvt. Ltd.,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",AzureRcommunicationPandaswrittenAWSMatplotlibNumPy,https://www.naukri.com/job-listings-data-science-module-technical-lead-winwire-technologies-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-6-to-8-years-150621500096?src=jobsearchDesk&sid=16254085052034419&xp=15&px=4
