,Company,Rating,Position,Experience,Salary,Location,Skills,Link
85,REKRUT INDIA PRIVATE LIMITED  ,Nan,Job | Data Scientist | Bangalore | Immediate Joiner | Remote - WFH,REKRUT INDIA PRIVATE LIMITED  ,"4,75,000 - 9,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Data ScienceNLPMachine LearningIT SkillsPythonwork from homeAlgorithmsStatistical Analysis,https://www.naukri.com/job-listings-data-scientist-bangalore-immediate-joiner-remote-wfh-rekrut-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-5-years-130621000795?src=jobsearchDesk&sid=16254838380281016&xp=6&px=6
86,Nagalakshmi Tech Solutions Private Limited ,Nan,Data Scientist- Banking Domain,Nagalakshmi Tech Solutions Private Limited ,"6,00,000 - 12,00,000 PA.",Chennai(West Tambaram),Machine LearningDeep LearningData ScienceSQLstatistical testingSparkAzurePython,https://www.naukri.com/job-listings-data-scientist-banking-domain-nagalakshmi-tech-solutions-private-limited-chennai-2-to-6-years-070621004332?src=jobsearchDesk&sid=16254838380281016&xp=7&px=6
87,C1X Inc.,Nan,Data Engineer,C1X Inc.,Not disclosed,"Chennai, Bangalore/Bengaluru",processdevelopmentUXcodeServiceData processingdevelopingHTML,https://www.naukri.com/job-listings-data-engineer-c1x-inc-chennai-bengaluru-bangalore-2-to-5-years-250118501623?src=jobsearchDesk&sid=16254838380281016&xp=8&px=6
88,Class One Exchange.,Nan,Data Engineer ,Class One Exchange.,Not disclosed,"Chennai, Bengaluru",processdevelopmentUXcodeServiceData processingdevelopingHTML,https://www.naukri.com/job-listings-data-engineer-class-one-exchange-chennai-bengaluru-bangalore-3-to-8-years-180517500031?src=jobsearchDesk&sid=16254838380281016&xp=9&px=6
89,CAMSDATA TECHNOLOGIES INDIA PVT LTD,4.3,Analyst Data Scientist,CAMSDATA TECHNOLOGIES INDIA PVT LTD,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataComputer scienceEvaluationData analysis,https://www.naukri.com/job-listings-analyst-data-scientist-camsdata-technologies-india-pvt-ltd-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-210518500355?src=jobsearchDesk&sid=16254838380281016&xp=10&px=6
90,AG Technologies pvt Ltd,2.3,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA.","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationAPO2CSAPP2PanalyticalSQLSAP Database,https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621603270?src=jobsearchDesk&sid=16254838380281016&xp=11&px=6
91,AG Technologies pvt Ltd,2.3,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA.","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationAPO2CSAPP2PanalyticalSQLSAP Database,https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621003268?src=jobsearchDesk&sid=16254838380281016&xp=12&px=6
92,Cynosure Corporate Solutions ,Nan,Senior Data Scientist,Cynosure Corporate Solutions ,Not disclosed,Chennai,communicationRSQLPythonIT SkillsData ScienceMachine LearningDesign Development,https://www.naukri.com/job-listings-senior-data-scientist-cynosure-corporate-solutions-chennai-5-to-10-years-030521000473?src=jobsearchDesk&sid=16254838380281016&xp=13&px=6
93,Navis India Technologies Private Limited,Nan,Senior Data Engineer,Navis India Technologies Private Limited,Not disclosed,Chennai,Supply chainComputer scienceOperations researchC++data scienceAnalyticalMachine learningMSBI,https://www.naukri.com/job-listings-senior-data-engineer-navis-india-technologies-private-limited-chennai-5-to-8-years-080121501089?src=jobsearchDesk&sid=16254838380281016&xp=14&px=6
94,Cargotec,3.7,Senior Data Engineer,Cargotec,Not disclosed,Chennai,Supply chainComputer scienceOperations researchC++data scienceAnalyticalMachine learningMSBI,https://www.naukri.com/job-listings-senior-data-engineer-cargotec-chennai-4-to-6-years-070121501298?src=jobsearchDesk&sid=16254838380281016&xp=15&px=6
