Company,Rating,Position,Experience,Salary,Location,Skills,Link
Council of education and development programmes Private Limited,2.1,Data Science Faculty,Council of education and development programmes Private Limited,"1,00,000 - 6,00,000 PA.","Mumbai, Mumbai Suburban, Thane, Navi Mumbai, Mumbai (All Areas)",Data ScienceArtificial IntelligenceMachine LearningDeep Learning,https://www.naukri.com/job-listings-data-science-faculty-council-of-education-and-development-programmes-private-limited-mumbai-mumbai-suburban-thane-navi-mumbai-mumbai-all-areas-2-to-7-years-020721001830?src=jobsearchDesk&sid=16253727927507887&xp=18&px=1
Citius IT Solutions Pvt Ltd,2.7,Asst. Manager - Data Science,Citius IT Solutions Pvt Ltd,Not disclosed,Mumbai,Assistant Managerdata scienceSimulationSASProject managementAnalyticalMachine learningData mining,https://www.naukri.com/job-listings-asst-manager-data-science-citius-it-solutions-pvt-ltd-mumbai-5-to-10-years-190621500480?src=jobsearchDesk&sid=16253727927507887&xp=19&px=1
TransUnion Software Services Pvt. Ltd,4.6,AVP - Data Science and Analytics - Modeling,TransUnion Software Services Pvt. Ltd,Not disclosed,Mumbai,SparkHiveTableauSQLRPythondata scienceCoding,https://www.naukri.com/job-listings-avp-data-science-and-analytics-modeling-transunion-software-services-pvt-ltd-mumbai-9-to-13-years-220621500146?src=jobsearchDesk&sid=16253727927507887&xp=20&px=1
Hexaware Technologies Ltd.,3.4,"Analytics , Data science and IOT Lead (CH) ",Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",MSTRCommunicationData modellingMicroStrategySQL ServerInterpersonal skillsPDFdata science,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-ch-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-6-to-11-years-020721500356?src=jobsearchDesk&sid=1625372847376608&xp=1&px=1
Capgemini Technology Services India Limited,3.6,Data Science,Capgemini Technology Services India Limited,Not disclosed,Mumbai,analysisSparkAPACHESciencePySparkPythonMLibMesos,https://www.naukri.com/job-listings-data-science-capgemini-technology-services-india-limited-mumbai-4-to-6-years-280621916364?src=jobsearchDesk&sid=1625372847376608&xp=2&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=1625372847376608&xp=3&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",pythonDatabricksAzure MLMachine LearningIT SkillsData ScienceAzuredeep learning,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=1625372847376608&xp=4&px=1
Remah IT,Nan,Business Consultant - Data Science,Remah IT,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AWSAzureGCPData ScienceData ArchitectGoogle Cloud PlatformCloudSnowflake DB,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-060421901437?src=jobsearchDesk&sid=1625372847376608&xp=5&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,Publishingdata scienceData managementArchitectureBusiness EconomicsMachine learningConsultingData analytics,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-010721901363?src=jobsearchDesk&sid=1625372847376608&xp=6&px=1
iMarkserv,Nan,Data Science Engineer - Predictive Modeling/Numpy,iMarkserv,Not disclosed,"Mumbai, Pune",machine learningJava programmingoptimisationSQLscikitPythonspacynumpy,https://www.naukri.com/job-listings-data-science-engineer-predictive-modeling-numpy-imarkserv-mumbai-pune-0-to-4-years-280621904405?src=jobsearchDesk&sid=1625372847376608&xp=7&px=1
