,Company,Rating,Position,Experience,Salary,Location,Skills,Link
141,AG Technologies pvt Ltd,2.3,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA.","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationAPO2CSAPP2PanalyticalSQLSAP Database,https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621003268?src=jobsearchDesk&sid=16254847074386805&xp=2&px=9
142,Fractal Analytics,3.9,Senior Design Researcher,Fractal Analytics,Not disclosed,"Mumbai, Bangalore/Bengaluru",User researchdata scienceUser interface designingArtificial IntelligenceResearchinternational clientsBusiness understandingAnalytics,https://www.naukri.com/job-listings-senior-design-researcher-fractal-analytics-ltd-mumbai-bangalore-bengaluru-2-to-5-years-020721501535?src=jobsearchDesk&sid=16254847074386805&xp=3&px=9
143,Maestro Headhunters LLP,Nan,Sr Data Scientist - Leading Analytics  Product Company in Mumbai,Maestro Headhunters LLP,"10,00,000 - 20,00,000 PA.",Mumbai,JavaC++Cproject manager data scientistdecisionNeural NetworksSenior Data ScientistRegression,https://www.naukri.com/job-listings-sr-data-scientist-leading-analytics-product-company-in-mumbai-maestro-headhunters-llp-mumbai-3-to-8-years-070919002423?src=jobsearchDesk&sid=16254847074386805&xp=4&px=9
144,Huquo Consulting Pvt. Ltd,Nan,Junior/Senior Data Scientist,Huquo Consulting Pvt. Ltd,Not disclosed,Mumbai,Data ScienceBusiness IntelligenceSASData ScientistData ManagementData MiningTableauData Analytics,https://www.naukri.com/job-listings-junior-senior-data-scientist-huquo-consulting-pvt-ltd-mumbai-1-to-6-years-020621902431?src=jobsearchDesk&sid=16254847074386805&xp=5&px=9
145,Fractal Analytics,3.9,Senior Data Scientist,Fractal Analytics,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",Supply chainData analysisSASTime series analysisArtificial IntelligenceConsultingMachine learningData analytics,https://www.naukri.com/job-listings-senior-data-scientist-fractal-analytics-ltd-mumbai-gurgaon-gurugram-bangalore-bengaluru-5-to-9-years-140621500966?src=jobsearchDesk&sid=16254847074386805&xp=6&px=9
146,In2M Technologies Pvt Ltd,4.0,Senior Data Engineer,In2M Technologies Pvt Ltd,Not disclosed,Mumbai,Computer sciencedata scienceCodingData modelingFinancial inclusionJavascriptData structuresGenetics,https://www.naukri.com/job-listings-senior-data-engineer-in2m-technologies-pvt-ltd-mumbai-5-to-8-years-030221501269?src=jobsearchDesk&sid=16254847074386805&xp=7&px=9
147,Zodiac  HR Consultants (I) Pvt Ltd.,Nan,Data Engineer Reb,Zodiac  HR Consultants (I) Pvt Ltd.,Not disclosed,"Mumbai, Delhi / NCR",IT SkillsData ScienceBig Datadata engineer,https://www.naukri.com/job-listings-data-engineer-reb-zodiac-hr-consultants-i-pvt-ltd-mumbai-delhi-ncr-2-to-7-years-250621604240?src=jobsearchDesk&sid=16254847074386805&xp=8&px=9
148,M&G plc,Nan,Data Analyst,M&G plc,Not disclosed,Mumbai,Data analysisManager Quality AssuranceBusiness transformationData managementProcess improvementActuarialCustomer serviceInformation technology,https://www.naukri.com/job-listings-data-analyst-m-g-plc-mumbai-0-to-3-years-300621500242?src=jobsearchDesk&sid=16254847074386805&xp=9&px=9
149,Accenture Solutions Pvt Ltd,4.0,Big Data Analysis Tool and Techniques Application Developer,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,Business processMiningData analysisInterpersonal skillsDiagnosticsCodingConsultingOrganizational management,https://www.naukri.com/job-listings-big-data-analysis-tool-and-techniques-application-developer-accenture-solutions-pvt-ltd-mumbai-8-to-10-years-280621907858?src=jobsearchDesk&sid=16254847074386805&xp=10&px=9
150,COLLABERA,3.7,Job Opportunity For Data Analyst,COLLABERA,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Javascriptshell scriptingcommunicationCJavaLinuxmachine learningETL,https://www.naukri.com/job-listings-opportunity-for-data-analyst-collabera-technologies-private-limited-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-180621008123?src=jobsearchDesk&sid=16254847074386805&xp=11&px=9
