Company,Rating,Position,Experience,Salary,Location,Skills,Link
Techstar Software Development India Pvt. Ltd.,3.5,Data Science Engineer - R/ Python,Techstar Software Development India Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,PythonKerasTriggerCNNIBM SPSSPysparkLSTMR,https://www.naukri.com/job-listings-data-science-engineer-r-python-techstar-software-development-india-pvt-ltd-bangalore-bengaluru-3-to-6-years-230121904235?src=jobsearchDesk&sid=16253721266663344&xp=17&px=1
Remah IT,Nan,Business Consultant - Data Science,Remah IT,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AWSAzureGCPData ScienceData ArchitectGoogle Cloud PlatformCloudSnowflake DB,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-060421901437?src=jobsearchDesk&sid=16253721266663344&xp=18&px=1
Cambridge Technology Enterprises Limited,3.9,Senior Engineer / Lead - Data Science,Cambridge Technology Enterprises Limited,"25,00,000 - 40,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",Artificial IntelligencePandasMachine LearningScikit-LearnNumpyPythonSQL,https://www.naukri.com/job-listings-senior-engineer-lead-data-science-cambridge-technology-enterprises-limited-hyderabad-secunderabad-bangalore-bengaluru-10-to-20-years-040321000071?src=jobsearchDesk&sid=16253721266663344&xp=19&px=1
Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Bangalore/Bengaluru,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-5-to-9-years-020721501122?src=jobsearchDesk&sid=16253721266663344&xp=20&px=1
GENPACT India Private Limited,4.0,Inviting applications  For Data science (computer science) Bangalore,GENPACT India Private Limited,Not disclosed,Bangalore/Bengaluru,Data ScienceComputer Science,https://www.naukri.com/job-listings-inviting-applications-for-data-science-computer-science-bangalore-genpact-india-private-limited-bangalore-bengaluru-0-to-1-years-290621002258?src=jobsearchDesk&sid=16253721465857545&xp=1&px=1
Dell International Services India  Private Limited,4.1,"Consultant, Data Science",Dell International Services India  Private Limited,Not disclosed,Bangalore/Bengaluru,Data SciencePredictive ModelingCAlgorithmsVisual BasicArtificial IntelligenceProbabilityProgramming,https://www.naukri.com/job-listings-consultant-data-science-dell-international-services-india-private-limited-bangalore-bengaluru-12-to-15-years-030721902155?src=jobsearchDesk&sid=16253721465857545&xp=2&px=1
Hexaware Technologies Ltd.,3.4,"Analytics , Data science and IOT Lead (CH) ",Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",MSTRCommunicationData modellingMicroStrategySQL ServerInterpersonal skillsPDFdata science,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-ch-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-6-to-11-years-020721500356?src=jobsearchDesk&sid=16253721465857545&xp=3&px=1
OTIS,4.1,Senior Data Science Analyst,OTIS,Not disclosed,Bangalore/Bengaluru,TrainingAnalystSalesdata scienceMachine learningMarketing operationsIndividual ContributorForecasting,https://www.naukri.com/job-listings-senior-data-science-analyst-otis-bangalore-bengaluru-1-to-3-years-220621500098?src=jobsearchDesk&sid=16253721465857545&xp=4&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceUnderwritingConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-280621907360?src=jobsearchDesk&sid=16253721465857545&xp=5&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsAnalystPublishingStatistical analysisArchitecturedata scienceArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721902037?src=jobsearchDesk&sid=16253721465857545&xp=6&px=1
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,AnalystPublishingArchitecturedata scienceArtificial IntelligenceConsultingMachine learningIndividual Contributor,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721901390?src=jobsearchDesk&sid=16253721465857545&xp=7&px=1
