,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
273,2coms, , ,Data Scientist,6-11 Yrs,Not disclosed,"Chennai, Chennai","Python,Spark,Artificial Intelligence,Hive,statistical analysis,R Analytics,SQL,big data",https://www.naukri.com/job-listings-data-scientist-2coms-chennai-chennai-6-to-11-years-020721903096?src=jobsearchDesk&sid=16259967805168838&xp=14&px=15
274,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Machine Learning Application Developer,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Testing,Machine Learning,Cloud,Business process,ASR,Coding",https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-010721902555?src=jobsearchDesk&sid=16259967805168838&xp=15&px=15
275,Samatrix Consulting Private Limited, , ,"Data Analytics, Python, R Trainer For Bhopal",4-9 Yrs,Not disclosed,Bhopal,"Power BI,Machine Learning,R,presentation,Python,Data Analytics,communication,advanced Excel",https://www.naukri.com/job-listings-data-analytics-python-r-trainer-for-bhopal-samatrix-consulting-private-limited-bhopal-4-to-9-years-110721000160?src=jobsearchDesk&sid=16259967805168838&xp=16&px=15
276,ACZ Global Private Limited, , ,"Hiring Data Science Professionals For Big Four, Bangalore",5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Software Development,Testing,Data Science,Machine Learning,R",https://www.naukri.com/job-listings-hiring-data-science-professionals-for-big-four-bangalore-acz-global-private-limited-bangalore-bengaluru-5-to-8-years-180621005496?src=jobsearchDesk&sid=16259967805168838&xp=17&px=15
277,Fractal Analytics,3.9,(97 Reviews),Senior Data Scientist,5-9 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","Supply chain,Data analysis,SAS,Time series analysis,Artificial Intelligence,Consulting,Machine learning,Data analytics",https://www.naukri.com/job-listings-senior-data-scientist-fractal-analytics-ltd-mumbai-gurgaon-gurugram-bangalore-bengaluru-5-to-9-years-140621500966?src=jobsearchDesk&sid=16259967805168838&xp=18&px=15
278,Tanla Solutions Ltd,3.7,(13 Reviews),Data Scientist,4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,"Python,Data Analytics,Text mining,statistical data analysis,Natural Language Processing,Scala,ML,AI",https://www.naukri.com/job-listings-data-scientist-tanla-solutions-ltd-hyderabad-secunderabad-4-to-9-years-020721500727?src=jobsearchDesk&sid=16259967805168838&xp=19&px=15
279,Catalyst, , ,Lead AI Engineer,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"scipy,keras,tensorflow,big data eco,hadoop,Python,pytorch,Java",https://www.naukri.com/job-listings-lead-ai-engineer-catalyst-bangalore-bengaluru-4-to-6-years-200220900877?src=jobsearchDesk&sid=16259967805168838&xp=20&px=15
280,Cholamandalam Investment & Finance,4.2,(1485 Reviews),Analytics Lead - Data Scientist,7-12 Yrs,"12,00,000 - 22,00,000 PA.","Chennai, Bangalore/Bengaluru","Predictive Modeling,Data Science,Cross Selling,Data Processing,Data Analytics,ETL,Analytics,Python",https://www.naukri.com/job-listings-analytics-lead-data-scientist-cholamandalam-investment-finance-chennai-bangalore-bengaluru-7-to-12-years-280521000815?src=jobsearchDesk&sid=16259968149725575&xp=1&px=16
281,RANDSTAD INDIA PVT LTD,4.1,(1143 Reviews),Data Scientist,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Excel,Oracles Exadata,Powerpoint,SQL,Python,PySpark,Spark,Cluster analysis",https://www.naukri.com/job-listings-data-scientist-randstad-india-pvt-ltd-bangalore-bengaluru-4-to-8-years-260521006179?src=jobsearchDesk&sid=16259968149725575&xp=2&px=16
282,Aspire Systems India (P) Ltd,3.9,(237 Reviews),Data Scientist - Interview Invitation from Aspire Systems,10-12 Yrs,"10,00,000 - 20,00,000 PA.","Chennai, Bangalore/Bengaluru","Big Data,ML,CNN,AWS,Azure,AI modelling,RNN,RESNET",https://www.naukri.com/job-listings-data-scientist-interview-invitation-from-aspire-systems-aspire-systems-india-p-ltd-chennai-bangalore-bengaluru-10-to-12-years-150621012208?src=jobsearchDesk&sid=16259968149725575&xp=3&px=16
