,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
376,CARNATION INFOTECH PRIVATE LIMITED, , ,Data Analyst, ,Not disclosed,"Lucknow, Bangalore/Bengaluru(WFH during Covid)","Power Bi,Tableau,SQL,Predictive Modeling,Data Analysis,Data Mining,SAS Programming,SPSS",https://www.naukri.com/job-listings-data-analyst-carnation-infotech-private-limited-lucknow-bangalore-bengaluru-0-to-5-years-090721003446?src=jobsearchDesk&sid=16259969718641869&xp=17&px=20
377,Job Fittment Finder, , ,Senior Data Scientist,9-14 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Software Development,Data Science,Machine Learning,Product Management,Anomaly Detection",https://www.naukri.com/job-listings-senior-data-scientist-fittment-finder-bangalore-bengaluru-9-to-14-years-250521908194?src=jobsearchDesk&sid=16259969718641869&xp=18&px=20
378,Valuable Consulting, , ,Sr. Data Scientist - Marketing and Customer analytics,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Big Data,HIVE,SQL,customer analytics,Azure,Python,Spark,troubleshooting",https://www.naukri.com/job-listings-sr-data-scientist-marketing-and-customer-analytics-valuable-consulting-bangalore-bengaluru-7-to-12-years-280521903236?src=jobsearchDesk&sid=16259969718641869&xp=19&px=20
379,vEnrichU, , ,Senior Data Scientist,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Testing,Data Science,Machine Learning,Cloud,AWS,Predictive Modeling",https://www.naukri.com/job-listings-senior-data-scientist-venrichu-bangalore-bengaluru-5-to-8-years-220321904357?src=jobsearchDesk&sid=16259969718641869&xp=20&px=20
380,vEnrichU, , ,Senior Data Scientist,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Testing,Data Science,Machine Learning,Cloud,AWS,Predictive Modeling",https://www.naukri.com/job-listings-senior-data-scientist-venrichu-bangalore-bengaluru-5-to-8-years-220321904357?src=jobsearchDesk&sid=16259970079993090&xp=1&px=21
381,Bigshyft Hiring for Algonomy, , ,Senior Data Scientist,4-8 Yrs,"15,00,000 - 25,00,000 PA.",Bangalore/Bengaluru,"Data Science,ETL,Python,SQL",https://www.naukri.com/job-listings-senior-data-scientist-bigshyft-hiring-for-algonomy-bangalore-bengaluru-4-to-8-years-170521900223?src=jobsearchDesk&sid=16259970079993090&xp=2&px=21
382,Quality Engineering  Software Technologies Pvt. Ltd.,3.3,(746 Reviews),Data Engineer / ML Ops / Python Developer,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Luigi,Dockers,MLOps,Kubeflow,Singularity,ClearML,Python,DevOps",https://www.naukri.com/job-listings-data-engineer-ml-ops-python-developer-quality-engineering-software-technologies-pvt-ltd-bangalore-bengaluru-3-to-7-years-220621501130?src=jobsearchDesk&sid=16259970079993090&xp=3&px=21
383,Psi Phi Global Solutions Private Limited , , ,Senior Data Engineer,2-6 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru","SCALA,Spark,hadoop,Airflow,Data Science,flink,hive,GCP",https://www.naukri.com/job-listings-senior-data-engineer-psi-phi-global-solutions-private-limited-gurgaon-gurugram-bangalore-bengaluru-2-to-6-years-220621000131?src=jobsearchDesk&sid=16259970079993090&xp=4&px=21
384,Catalyst,3.7,(11 Reviews),Director/senior Director Engineering - Big Data Technologies,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Software Development,Data Science,Big Data,director,performance management",https://www.naukri.com/job-listings-director-senior-director-engineering-big-data-technologies-catalyst-bangalore-bengaluru-10-to-15-years-231018901041?src=jobsearchDesk&sid=16259970079993090&xp=5&px=21
385,Flipkart Internet Private Limited,4.2,(3378 Reviews),Senior Data Analyst,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Power Bi,Data Analysis,Web Analytics,Tag Validation,Adobe Analytics,SQL,Python",https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-2-to-5-years-250621906551?src=jobsearchDesk&sid=16259970079993090&xp=6&px=21
386,Mindtree Limited,4.0,(1721 Reviews),Databricks - Technical Lead,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Databricks,Data Analysis,SPARK SCALA,IT Skills,Data Science,Machine Learning,Azure,spark",https://www.naukri.com/job-listings-databricks-technical-lead-mindtree-limited-bangalore-bengaluru-4-to-8-years-090721500483?src=jobsearchDesk&sid=16259970079993090&xp=7&px=21
387,Mindtree Limited,4.0,(1721 Reviews),R Language/Python - Module Lead,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Python,Sql,Power Bi,Data Visualization,Data Analysis,Analytical,Sql Query,Analytical skills",https://www.naukri.com/job-listings-r-language-python-module-lead-mindtree-limited-bangalore-bengaluru-2-to-6-years-090721500476?src=jobsearchDesk&sid=16259970079993090&xp=8&px=21
388,Multi Recruit   , , ,Data Scientist 1,2-5 Yrs,"8,00,000 - 10,00,000 PA.",Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Tableau,Azure,Computer Vision",https://www.naukri.com/job-listings-data-scientist-1-multi-recruit-bangalore-bengaluru-2-to-5-years-230621004459?src=jobsearchDesk&sid=16259970079993090&xp=9&px=21
389,Mount Talent Consulting Private Limited , , ,Data Scientist,3-8 Yrs,"10,00,000 - 20,00,000 PA.","Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","IT Skills,Data Science,Cloud,Big Data,Business Strategy,Corporate Strategy,Hive,Cloud Computing",https://www.naukri.com/job-listings-data-scientist-mount-talent-consulting-private-limited-mumbai-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-190521602628?src=jobsearchDesk&sid=16259970079993090&xp=10&px=21
390,Catalyst,3.7,(11 Reviews),Data Engineer - Python/scala/java,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,AWS,DataLake,Design Patterns,Scala,Data Warehouses",https://www.naukri.com/job-listings-data-engineer-python-scala-java-catalyst-bangalore-bengaluru-5-to-8-years-240320903084?src=jobsearchDesk&sid=16259970079993090&xp=11&px=21
391,Savantys Solutions, , ,Data Engineer - Big Data/Hadoop,10-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Spark,Big Data,Scala,Impala,Power BI,Data Analysis,NiFi,Java",https://www.naukri.com/job-listings-data-engineer-big-data-hadoop-savantys-solutions-hyderabad-secunderabad-bangalore-bengaluru-10-to-12-years-220621906980?src=jobsearchDesk&sid=16259970079993090&xp=12&px=21
392,Savantys Solutions, , ,Data Engineer - Big Data/Hadoop,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Spark,HBase,EMR,Java,Scala,Kafka,Big data,NiFi",https://www.naukri.com/job-listings-data-engineer-big-data-hadoop-savantys-solutions-hyderabad-secunderabad-bangalore-bengaluru-4-to-9-years-220621906979?src=jobsearchDesk&sid=16259970079993090&xp=13&px=21
393,Flipkart Internet Private Limited,4.2,(3378 Reviews),Associate Business Analyst,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,R,Excel,Express,Power Bi,Data Analysis,Data Mining,Analytics",https://www.naukri.com/job-listings-associate-business-analyst-flipkart-internet-private-limited-bangalore-bengaluru-1-to-5-years-090621900723?src=jobsearchDesk&sid=16259970079993090&xp=14&px=21
394,CONDUENT BUSINESS SERVICES INDIA LLP,3.5,(1044 Reviews),Data Analyst Azure,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Azure,SQL Queries,Data Analyst",https://www.naukri.com/job-listings-data-analyst-azure-conduent-business-services-india-llp-bangalore-bengaluru-3-to-6-years-080721006964?src=jobsearchDesk&sid=16259970079993090&xp=15&px=21
395,Flipkart Internet Private Limited,4.2,(3378 Reviews),Urgently Looking For Data Analyst,2-3 Yrs,"5,00,000 - 6,00,000 PA.",Bangalore/Bengaluru,"Excel,Python,SQL",https://www.naukri.com/job-listings-urgently-looking-for-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-2-to-3-years-080721006637?src=jobsearchDesk&sid=16259970079993090&xp=16&px=21
396,Mind Circus Innovation, , ,Excel VBA Jobs Bangalore | VBA data analyst Jobs,0-2 Yrs,"90,000 - 2,50,000 PA.","Coimbatore, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram","Excel,VBA,SQL,Word,MIS,VLOOKUP,Data Analysis,Advanced Excel",https://www.naukri.com/job-listings-excel-vba-jobs-bangalore-vba-data-analyst-jobs-mind-circus-innovation-coimbatore-bangalore-bengaluru-trivandrum-thiruvananthapuram-0-to-2-years-080721000901?src=jobsearchDesk&sid=16259970079993090&xp=17&px=21
397,Schneider Electric India Pvt. Ltd.,4.2,(1412 Reviews),FTE - Regional BI - Functional Data Analyst,5-8 Yrs,Not disclosed,"Davangere, Bangalore/Bengaluru","Business process,SAP ERP,Oracle CRM,Analytical,data governance,Informatica,SSIS,CRM sales",https://www.naukri.com/job-listings-fte-regional-bi-functional-data-analyst-schneider-electric-india-pvt-ltd-davangere-bangalore-bengaluru-5-to-8-years-060721500779?src=jobsearchDesk&sid=16259970079993090&xp=18&px=21
398,Schneider Electric India Pvt. Ltd.,4.2,(1412 Reviews),Deputy Manager - Data Analyst,3-6 Yrs,Not disclosed,"Davangere, Bangalore/Bengaluru","Analytical skills,Excel,Data Analyst,Electricals,Electronics engineering",https://www.naukri.com/job-listings-deputy-manager-data-analyst-schneider-electric-india-pvt-ltd-davangere-bangalore-bengaluru-3-to-6-years-060721500778?src=jobsearchDesk&sid=16259970079993090&xp=19&px=21
399,Philips India Limited,4.0,(506 Reviews),Data Analyst CX,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Training,Health insurance,Interpersonal skills,Relationship building,Agile,Transition,Data Analyst,Customer experience",https://www.naukri.com/job-listings-data-analyst-cx-philips-india-limited-bangalore-bengaluru-6-to-10-years-050721501674?src=jobsearchDesk&sid=16259970079993090&xp=20&px=21
