,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
143,Gojek Tech, , ,Head of Data Science,8-12 Yrs,Not disclosed,Bengaluru,"Computer science,data science,Strategic partnerships,Analytical,Formulation,Machine learning,Business case,Logistics",https://www.naukri.com/job-listings-head-of-data-science-gojek-tech-bengaluru-bangalore-8-to-12-years-031219500664?src=jobsearchDesk&sid=16260988692237948&xp=4&px=9,"Program Manager,",,"IT Software - Application Programming, Maintenance,",Senior Management,"Full Time, Permanent","Internet,",Any Graduate,Post Graduation Not Required,
144,Talpro, , ,Data Sciences Engineer - Big Data,2-5 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR","IT Skills,Big Data,Data Sciences Engineer,Data Management",https://www.naukri.com/job-listings-data-sciences-engineer-big-data-talpro-bangalore-bengaluru-delhi-ncr-2-to-5-years-010721903713?src=jobsearchDesk&sid=16260988692237948&xp=5&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Sc in Any Specialization,M.Tech in Any Specialization,Doctorate Not Required
145,Catalyst, , ,Data Science Product Manager - Artificial Intelligence,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data,Tensorflow,R",https://www.naukri.com/job-listings-data-science-product-manager-artificial-intelligence-catalyst-bangalore-bengaluru-4-to-9-years-141020903442?src=jobsearchDesk&sid=16260988692237948&xp=6&px=9,"Product Manager,",,"IT Software - DBA, Datawarehousing,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,","B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers",Any Postgraduate,Doctorate Not Required
146,Executive Selection India, , ,Senior Engineering Manager - Data Science - Python/Spark/NLP,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Data Science,Big Data,AWS,NLP,Engineering Management",https://www.naukri.com/job-listings-senior-engineering-manager-data-science-python-spark-nlp-executive-selection-india-bangalore-bengaluru-7-to-12-years-020621907628?src=jobsearchDesk&sid=16260988692237948&xp=7&px=9,"IT/Networking-Manager,",,"IT Software - DBA, Datawarehousing,",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent","IT Services & Consulting,","B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers",Any Postgraduate,Doctorate Not Required
147,CHANGE LEADERS CONSULTING, , ,Sr. Associate - Data Science,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Machine Learning,Python,SQL,Predictive Modeling,Pyspark,R,Hive,Hadoop",https://www.naukri.com/job-listings-sr-associate-data-science-change-leaders-consulting-bangalore-bengaluru-2-to-4-years-210621608209?src=jobsearchDesk&sid=16260988692237948&xp=8&px=9,"Other,",,"Other,",Other,"Full Time, Permanent","Analytics / KPO / Research,",Graduation Not Required,,
148,RGF Professional Recruitment,2.8,(3 Reviews),Application & Automation Manager Data Science,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Automation,jQuery,data science,Data modeling,Enterprise applications,Agile,Workflow,SDLC",https://www.naukri.com/job-listings-application-automation-manager-data-science-rgf-professional-recruitment-bangalore-bengaluru-5-to-10-years-070621501124?src=jobsearchDesk&sid=16260988692237948&xp=9&px=9,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Post Graduation Not Required,
149,DataTrained,4.4,(15 Reviews),Data Science Intern,0-2 Yrs,Not disclosed,"Noida, Bengaluru","IT Skills,Python,Machine Learning,Big Data,Tableau,Computer science,Computer vision,Intern",https://www.naukri.com/job-listings-data-science-intern-datatrained-noida-bengaluru-bangalore-0-to-2-years-211220501187?src=jobsearchDesk&sid=16260988692237948&xp=10&px=9,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,
150,GAMA India, , ,Data Science Engineer - BFSI,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Data Scientist,Big Data,Machine Learning,Statistics,Python",https://www.naukri.com/job-listings-data-science-engineer-bfsi-gama-india-bangalore-bengaluru-3-to-7-years-240621906452?src=jobsearchDesk&sid=16260988692237948&xp=11&px=9,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Banking,",B.Tech/B.E. in Any Specialization,MBA/PGDM in Any Specialization,Doctorate Not Required
151,Beiing.in, , ,Head of Data Science - Machine Learning - R/Python/Tensorflow,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Tensorflow,Regression Algorithms,R,NLP,Elasticsearch,Pandas,Data Modeling",https://www.naukri.com/job-listings-head-of-data-science-machine-learning-r-python-tensorflow-beiing-in-bangalore-bengaluru-8-to-13-years-270121903281?src=jobsearchDesk&sid=16260988692237948&xp=12&px=9,"Head/VP/GM - Analytics & BI,",,"Analytics & Business Intelligence,",Senior Management,"Full Time, Permanent","IT Services & Consulting,","B.Sc in Maths, Statistics, Computers, B.Tech/B.E. in Computers","MS/M.Sc(Science) in Maths, Computers, Statistics","Ph.D/Doctorate in Statistics, Computers, Maths"
152,Savantys Solutions, , ,Data Science Manager - Machine Learning/Artificial Intelligence,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Machine Learning,Power BI,JS stack,Tableau,Artificial Intelligence,Python,IT Skills,Data Science",https://www.naukri.com/job-listings-data-science-manager-machine-learning-artificial-intelligence-savantys-solutions-hyderabad-secunderabad-bangalore-bengaluru-8-to-13-years-170621906439?src=jobsearchDesk&sid=16260988692237948&xp=13&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,","B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization",Any Postgraduate,Doctorate Not Required
153,TalPro, , ,Head of Data Science,10-20 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","Data Science,Predictive Modeling,Upsell,NLP,Sales,Segmentation,Artificial Intelligence,Data Modeling",https://www.naukri.com/job-listings-head-of-data-science-talpro-mumbai-bangalore-bengaluru-10-to-20-years-130521600336?src=jobsearchDesk&sid=16260988692237948&xp=14&px=9,"Head/VP/GM-Technology(IT)/CTO,",,"IT Software - eCommerce, Internet Technologies,",Senior Management,"Full Time, Permanent","Internet,",Graduation Not Required,,
154,Talent Connect, , ,Data Science Product Manager,4-9 Yrs,Not disclosed,"Bangalore/Bengaluru, KA","Machine Learning,Deep Learning and Artificial Intelligence,Statistics",https://www.naukri.com/job-listings-data-science-product-manager-talent-connect-bangalore-bengaluru-ka-4-to-9-years-280720904586?src=jobsearchDesk&sid=16260988692237948&xp=15&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,Any Postgraduate,Doctorate Not Required
155,Catalyst, , ,Data Science Product Manager,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Tensorflow,NoSQL,Resnet,Deep Learning,Kubernetes,agile,Machine Learning,Python",https://www.naukri.com/job-listings-data-science-product-manager-catalyst-bangalore-bengaluru-4-to-9-years-260220902545?src=jobsearchDesk&sid=16260988692237948&xp=16&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,Any Postgraduate,Doctorate Not Required
156,UnicornHead Online Ventures India Pvt. Ltd.  , , ,Data Science Manager,7-12 Yrs,"30,00,000 - 40,00,000 PA.",Bangalore/Bengaluru,"Data Science,NLP,Python,Predictive Modeling,Pattern Recognition,Excel Powerpoint,Data Mining,Tableau",https://www.naukri.com/job-listings-data-science-manager-unicornhead-online-ventures-india-pvt-ltd-bangalore-bengaluru-7-to-12-years-250521605727?src=jobsearchDesk&sid=16260988692237948&xp=17&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Internet,",Any Graduate,,
157,UnicornHead Online Ventures India Pvt. Ltd.  , , ,Data Science Manager,7-12 Yrs,"30,00,000 - 40,00,000 PA.",Bangalore/Bengaluru,"Data Science,NLP,Python,Predictive Modeling,Pattern Recognition,Excel Powerpoint,Data Mining,Tableau",https://www.naukri.com/job-listings-data-science-manager-unicornhead-online-ventures-india-pvt-ltd-bangalore-bengaluru-7-to-12-years-250521005725?src=jobsearchDesk&sid=16260988692237948&xp=18&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Internet,",Any Graduate,,
158,Catalyst, , ,Data Science Product Manager Artificial Intelligence/ Machine Learning,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Docker,Deep Learning,SQL,Machine Learning,Resnet,VGG,Python,NoSQL",https://www.naukri.com/job-listings-data-science-product-manager-artificial-intelligence-machine-learning-catalyst-bangalore-bengaluru-4-to-9-years-250320903035?src=jobsearchDesk&sid=16260988692237948&xp=19&px=9,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,","B.Sc in Computers, B.Tech/B.E. in Computers, BCA in Computers","M.Tech in Computers, Electrical, MS/M.Sc(Science) in Computers, MCA in Computers",Doctorate Not Required
159,Dreamz Consultants, , ,Data Science - Manager,10-15 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru","IT Skills,Python,Software Development,Data Science,Machine Learning,Azure,NLP,Power BI",https://www.naukri.com/job-listings-data-science-manager-dreamz-consultants-noida-bangalore-bengaluru-10-to-15-years-220621600465?src=jobsearchDesk&sid=16260988692237948&xp=20&px=9,"Business Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",Graduation Not Required,,
160,FUTURES AND CAREERS, , ,Deputy Manager - Data Sciences,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Big Data,AWS,Tableau,Power BI,Tensorflow,Logistic Regression",https://www.naukri.com/job-listings-deputy-manager-data-sciences-futures-and-careers-bangalore-bengaluru-4-to-8-years-170521600118?src=jobsearchDesk&sid=16260992230993834&xp=1&px=10,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,"MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization",Doctorate Not Required
161,Bion, , ,Data Science Professional,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Pig,Scala,Oracle,Python,data modeling,Spark,Java,statistical modeling",https://www.naukri.com/job-listings-data-science-professional-bion-bangalore-bengaluru-3-to-5-years-160320901841?src=jobsearchDesk&sid=16260992230993834&xp=2&px=10,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,"MCA in Computers, M.Tech in Any Specialization",Doctorate Not Required
