,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
187,POWER STORES E COMMERCE PRIVATE LIMITED, , ,Data Analyst - Work from Home,2-5 Yrs,"2,50,000 - 3,75,000 PA.","Pune, Bangalore/Bengaluru, Mumbai (All Areas)","Data Analysis,BPO,process improvement,Collection Management,Excel,Data Collection,Tableau,Data Warehousing",https://www.naukri.com/job-listings-data-analyst-work-from-home-power-stores-e-commerce-private-limited-pune-bangalore-bengaluru-mumbai-all-areas-2-to-5-years-280421002126?src=jobsearchDesk&sid=16261526102588644&xp=8&px=11,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","BPO / Call Centre,",Any Graduate,,
188,RKSV, , ,Lead Data Analyst,7-8 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","Computer science,Logistic regression,Data analysis,Neural networks,Data processing,Genetics,Data quality,Customer experience",https://www.naukri.com/job-listings-lead-data-analyst-rksv-mumbai-bangalore-bengaluru-7-to-8-years-260521501175?src=jobsearchDesk&sid=16261526102588644&xp=9&px=11,"Associate/Senior Associate -(NonTechnical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Voice,"Full Time, Permanent","Education / Training,",Any Graduate,Post Graduation Not Required,
189,Capital Placement Services, , ,Data Analyst,1-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru","Computer science,Data analysis,Publishing,Excel,Analytical,Business intelligence,Database Administrator,digital transformation",https://www.naukri.com/job-listings-data-analyst-capital-placement-services-mumbai-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-1-to-6-years-210621500028?src=jobsearchDesk&sid=16261526102588644&xp=10&px=11,"Software Developer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Post Graduation Not Required,
190,Kentessa, , ,Data Analyst (Digital Marketing),5-10 Yrs,"2,00,000 - 7,00,000 PA.","New Delhi, Bangalore/Bengaluru, Mumbai (All Areas)","Statistics,Excel,Data Analysis,PPC,Data Mining,Digital Marketing,Pay Per Click,Data Visualization",https://www.naukri.com/job-listings-data-analyst-digital-marketing-kentessa-new-delhi-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-210621005566?src=jobsearchDesk&sid=16261526102588644&xp=11&px=11,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Internet,","B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization","MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization",Ph.D/Doctorate in Any Specialization
191,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Data Analyst,4-6 Yrs,Not disclosed,Mumbai,"Report generation,Data analysis,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data mining",https://www.naukri.com/job-listings-data-analyst-reliance-jio-infocomm-ltd-mumbai-4-to-6-years-010721501215?src=jobsearchDesk&sid=16261526102588644&xp=12&px=11,"Business Analyst,",,"IT Software - Other,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Telecom / ISP,",Any Graduate,Post Graduation Not Required,
192,Superior Group,4.6,(14 Reviews),Business Analyst - Reference Data,3-8 Yrs,Not disclosed,Mumbai,"Change Management,Regulatory Reporting,Excel,Investment Banking,Project Management,Business Analyst,Brd,Requirement Gathering",https://www.naukri.com/job-listings-business-analyst-reference-data-superior-group-mumbai-3-to-8-years-120721500708?src=jobsearchDesk&sid=16261526102588644&xp=13&px=11,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Recruitment / Staffing,",B.Tech/B.E. in Computers,Post Graduation Not Required,
193,Fractal Analytics,3.9,(97 Reviews),Senior Data Scientist,4-8 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","Supply chain management,Linux,RF,RDBMS,Bfsi,Consulting,Data structures,Healthcare",https://www.naukri.com/job-listings-senior-data-scientist-fractal-analytics-ltd-mumbai-gurgaon-gurugram-bangalore-bengaluru-4-to-8-years-290621500776?src=jobsearchDesk&sid=16261526102588644&xp=14&px=11,"Technical Architect,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Management Consulting,",B.Tech/B.E. in Production/Industrial,M.Tech in Electronics/Telecommunication,
194,IQVIA RDS India Pvt Ltd , , ,Sr. Records Management Associate/Records Management Analyst,2-7 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","ICH-GCP Guidelines,Records Management,Data Science,Clinical Research,GCP,ICH,Information Technology",https://www.naukri.com/job-listings-sr-records-management-associate-records-management-analyst-iqvia-rds-india-pvt-ltd-mumbai-bangalore-bengaluru-2-to-7-years-240621003552?src=jobsearchDesk&sid=16261526102588644&xp=15&px=11,"Other,",,"Other,",Other,"Full Time, Permanent","Pharmaceutical & Life Sciences,",Graduation Not Required,,
195,Seven Consultancy, , ,Sr. Data Analyst,2-5 Yrs,Not disclosed,Mumbai,"Analytical skills,Data analysis,Data management,Business Analyst,Business analysis,Data collection,Data Analyst,Data analytics",https://www.naukri.com/job-listings-sr-data-analyst-seven-consultancy-mumbai-2-to-5-years-290620500341?src=jobsearchDesk&sid=16261526102588644&xp=16&px=11,"Fresher,",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Other,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Post Graduation Not Required,
196,GEP,3.8,(230 Reviews),Senior Data Analyst  Spend Analysis,2-5 Yrs,Not disclosed,Mumbai,"Procurement,ERP,MS Access,Quality check,Analytical,Spend analysis,Data Analyst,Advanced Excel",https://www.naukri.com/job-listings-senior-data-analyst-spend-analysis-gep-mumbai-2-to-5-years-270221500253?src=jobsearchDesk&sid=16261526102588644&xp=17&px=11,"Team Lead/Technical Lead,",,"IT Software - eCommerce, Internet Technologies,",Programming & Design,"Full Time, Permanent","BPO / Call Centre,",Any Graduate,Post Graduation Not Required,
197,Pentagon Consultancy Services, , ,Senior Solution Deployment Strategist(Data Analyst),2-4 Yrs,Not disclosed,Mumbai,"BPO,Logistic regression,SAS Macros,Payroll,Statistical modeling,Staffing,Risk analytics,Analytical",https://www.naukri.com/job-listings-senior-solution-deployment-strategist-data-analyst-pentagon-consultancy-services-mumbai-2-to-4-years-230617502567?src=jobsearchDesk&sid=16261526102588644&xp=18&px=11,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",B.Tech/B.E. in Computers,M.Tech in Computers,
198,Ultria,3.5,(4 Reviews),Team Lead/ Sr.Master Data Analyst,3-5 Yrs,Not disclosed,Mumbai,"ERP,Automation,Manager Quality Assurance,Project management,Artificial Intelligence,Machine learning,data governance,Telecommunication",https://www.naukri.com/job-listings-team-lead-sr-master-data-analyst-ultria-mumbai-3-to-5-years-220520501251?src=jobsearchDesk&sid=16261526102588644&xp=19&px=11,"System Analyst,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Legal,",Any Graduate,Post Graduation Not Required,
199,Morningstar,4.2,(162 Reviews),Sr Data Quality Assurance Analyst,4-7 Yrs,Not disclosed,Mumbai,"RCA,Corporate actions,Financial reporting,Process improvement,Analytical,Data collection,Equity,Data quality",https://www.naukri.com/job-listings-sr-data-quality-assurance-analyst-morningstar-india-p-ltd-mumbai-4-to-7-years-220621501092?src=jobsearchDesk&sid=16261526102588644&xp=20&px=11,"Quality Assurance/Quality Control Executive,",,"IT Software - DBA, Datawarehousing,",QA/Testing/Documentation,"Full Time, Permanent","Financial Services,",B.Tech/B.E. in Computers,Post Graduation Not Required,
