,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
57,Naukri Premium - Employer Services, , ,Data Scientist - Manufacturing Domain (SCM aspect) Location Open,7-12 Yrs,"15,00,000 - 25,00,000 PA.","Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science,Manufacturing domain,Data Quality,Exploratory Data Analysis,Hadoop,Spark,Machine Learning,Statistical Analysis",https://www.naukri.com/job-listings-data-scientist-manufacturing-domain-scm-aspect-location-open-naukri-employer-services-kolkata-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-7-to-12-years-110621005635?src=jobsearchDesk&sid=16261497636258653&xp=18&px=4,"Other,",,"Other,",Other,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,,
58,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Microsoft Modern Data Platform Application Developer,2-4 Yrs, Not Disclosed by Recruiter ,Mumbai,"IT Skills,Quality Assurance,Data Science,Business process,Process analysis,Manager Quality Assurance,Analytical,Consulting",https://www.naukri.com/job-listings-microsoft-modern-data-platform-application-developer-accenture-solutions-pvt-ltd-mumbai-2-to-4-years-070721904138?src=jobsearchDesk&sid=16261497636258653&xp=19&px=4,Software Developer,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Programming & Design,"Full Time, Permanent",,,,
59,Colgate Palmolive,4.3,(424 Reviews),Senior Data Scientist,6-8 Yrs,Not disclosed,Mumbai,"R,decision tree,data analysis,data science,C++,data engineering,data visualization,Python",https://www.naukri.com/job-listings-senior-data-scientist-colgate-palmolive-mumbai-6-to-8-years-250621902455?src=jobsearchDesk&sid=16261497636258653&xp=20&px=4,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","FMCG,","B.A in Statistics, Maths, B.Sc in Maths, Computers, B.Tech/B.E. in Computers, BCA in Computers",Any Postgraduate,Ph.D/Doctorate
60,Colgate Palmolive,4.3,(424 Reviews),Senior Data Scientist,6-8 Yrs,Not disclosed,Mumbai,"R,decision tree,data analysis,data science,C++,data engineering,data visualization,Python",https://www.naukri.com/job-listings-senior-data-scientist-colgate-palmolive-mumbai-6-to-8-years-250621902455?src=jobsearchDesk&sid=16261501528367241&xp=1&px=5,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","FMCG,","B.A in Statistics, Maths, B.Sc in Maths, Computers, B.Tech/B.E. in Computers, BCA in Computers",Any Postgraduate,Ph.D/Doctorate
61,Dream11 Inc,5.0,(6 Reviews),Senior Data Scientist,3-4 Yrs,Not disclosed,Mumbai,"Data analysis,Backend,customer analytics,data science,Business analytics,Demand forecasting,Machine learning,data visualization",https://www.naukri.com/job-listings-senior-data-scientist-dream11-inc-mumbai-3-to-4-years-240920500331?src=jobsearchDesk&sid=16261501528367241&xp=2&px=5,"Technical Architect,",,"IT Software - DBA, Datawarehousing,",Programming & Design,"Full Time, Permanent","Fitness & Wellness,",Any Graduate,Post Graduation Not Required,
62,Mastermind Network, , ,Data Scientist (Machine Learning /AI),4-8 Yrs, Not Disclosed by Recruiter ,Mumbai,"Tensorflow,Pytorch,deep learning,python,data science,Artificial Intelligence,decision trees,Natural Language Processing",https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-mastermind-network-mumbai-4-to-8-years-080621001169?src=jobsearchDesk&sid=16261501528367241&xp=3&px=5,Analytics Manager,Banking,Analytics & Business Intelligence,Analytics & BI,"Full Time, Permanent",,,,
63,BPRISE,5.0,(3 Reviews),Data Scientist,3-7 Yrs,Not disclosed,Mumbai,"Data analysis,data science,Neural networks,Analytical,Machine learning,Data collection,Data mining,big data",https://www.naukri.com/job-listings-data-scientist-bprise-mumbai-3-to-7-years-300420500171?src=jobsearchDesk&sid=16261501528367241&xp=4&px=5,"Bio/Pharma Informatics-Associate/Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","Advertising & Marketing,",Any Graduate,Post Graduation Not Required,
64,Motifworks India Pvt.Ltd,4.6,(19 Reviews),Azure Data Engineer,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Business Analytics,Microsoft Azure,IT Skills,Big Data,Data Science,Business Intelligence,R,Azure",https://www.naukri.com/job-listings-azure-data-engineer-motifworks-india-pvt-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-8-years-090721006410?src=jobsearchDesk&sid=16261501528367241&xp=5&px=5,"Technical Support Engineer,",,"IT Software - Application Programming, Maintenance,",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,,
65,Replicon Software,3.8,(35 Reviews),Data Scientist,5-10 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Power Bi,predictive modelling,R,Amazon Lex,statistical analysis,Amazon Sagemaker,Tableau,Google DialogFlow",https://www.naukri.com/job-listings-data-scientist-replicon-software-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-260621603052?src=jobsearchDesk&sid=16261501528367241&xp=6&px=5,"Software Developer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","Software Product,","BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization","MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, PG Diploma in Any Specialization",
66,Boston Consulting Group,3.6,(53 Reviews),Senior Data Scientist,1-2 Yrs,Not disclosed,"Mumbai, New Delhi, Chennai","Computer science,Analytical skills,advanced analytics,SDS,data science,Artificial Intelligence,Machine learning,Management consulting",https://www.naukri.com/job-listings-senior-data-scientist-boston-consulting-group-chennai-delhi-mumbai-1-to-2-years-190820500542?src=jobsearchDesk&sid=16261501528367241&xp=7&px=5,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Post Graduation Not Required,
67,Huquo Consulting Pvt. Ltd, , ,Data Scientist - Python/sas/r,2-6 Yrs,Not disclosed,Mumbai,"Data Science,SAS,Data Scientist,Data Mining,Data Visualization,Web Analytics,Data Analytics,Statistics",https://www.naukri.com/job-listings-data-scientist-python-sas-r-huquo-consulting-pvt-ltd-mumbai-2-to-6-years-210919905214?src=jobsearchDesk&sid=16261501528367241&xp=8&px=5,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Analytics / KPO / Research,","B.Tech/B.E. in Computers, B.Sc in Maths, Computers, Statistics",Any Postgraduate,Doctorate Not Required
68,Institutional Shareholder Services Inc.,3.1,(6 Reviews),Data Scientist  Climate,4-7 Yrs,Not disclosed,Mumbai,"Mining,Data analysis,Interpersonal skills,Publishing,Data management,Corporate governance,data science,Market intelligence",https://www.naukri.com/job-listings-data-scientist-climate-institutional-shareholder-services-inc-mumbai-4-to-7-years-110321501353?src=jobsearchDesk&sid=16261501528367241&xp=9&px=5,"Clinical Research Associate/Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","Banking,",Any Graduate,Any Postgraduate,
69,Rebel Foods,3.3,(132 Reviews),Data Scientist,2-6 Yrs,Not disclosed,Mumbai,"Data analysis,Automation,data science,Predictive modeling,Customer engagement,SCM,Robotics,SQL",https://www.naukri.com/job-listings-data-scientist-rebel-foods-mumbai-2-to-6-years-090621500137?src=jobsearchDesk&sid=16261501528367241&xp=10&px=5,"Program Manager,",,"IT Software - eCommerce, Internet Technologies,",Senior Management,"Full Time, Permanent","FMCG,",Any Graduate,Any Postgraduate,
70,Capgemini Technology Services India Limited,3.6,(12552 Reviews),Data Labelling,4-6 Yrs, Not Disclosed by Recruiter ,Mumbai,"Agile methodology,Agile,communication,AI,RPA,IT Skills,Data Science,Programming",https://www.naukri.com/job-listings-data-labelling-capgemini-technology-services-india-limited-mumbai-4-to-6-years-280621916205?src=jobsearchDesk&sid=16261501528367241&xp=11&px=5,Program Manager,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Senior Management,"Full Time, Permanent",,,,
71,Meru cabs,4.0,(75 Reviews),Data Scientist (Grade:- Assistant Manager),3-6 Yrs,Not disclosed,Mumbai,"Data analysis,Simulation,data science,Formulation,Machine learning,data visualization,Analytics,SQL",https://www.naukri.com/job-listings-data-scientist-grade-assistant-manager-meru-cabs-mumbai-3-to-6-years-170521501296?src=jobsearchDesk&sid=16261501528367241&xp=12&px=5,"Research Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","Courier / Logistics,",Any Graduate,Post Graduation Not Required,
72,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Snowflake Data Warehouse Application Developer,12-15 Yrs, Not Disclosed by Recruiter ,Mumbai,"IT Skills,Data Science,Cloud,Big Data,AWS,Business process,Data modeling,Analytical",https://www.naukri.com/job-listings-snowflake-data-warehouse-application-developer-accenture-solutions-pvt-ltd-mumbai-12-to-15-years-020721906103?src=jobsearchDesk&sid=16261501528367241&xp=13&px=5,Software Developer,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Programming & Design,"Full Time, Permanent",,,,
73,Headhunter , , ,Data Engineer (SE/ SSE / Technical Lead ),2-7 Yrs,Not disclosed,"Pune, Bangalore Rural, Chennai, Coimbatore, Delhi / NCR, Mumbai (All Areas)","Airflow,Python,Google Cloud,IT Skills,Data Science,Cloud,AWS,Azure",https://www.naukri.com/job-listings-data-engineer-se-sse-technical-lead-headhunter-pune-bangalore-rural-chennai-coimbatore-delhi-ncr-mumbai-all-areas-2-to-7-years-030521006284?src=jobsearchDesk&sid=16261501528367241&xp=14&px=5,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,","B.Sc in Computers, Electronics, B.Tech/B.E. in Any Specialization","MS/M.Sc(Science) in Computers, M.Tech in Computers, MCA in Computers",
74,RANDSTAD INDIA PVT LTD,4.1,(1144 Reviews),Business Reporting Analyst with NGO,2-7 Yrs,"4,00,000 - 8,00,000 PA.","Udaipur, Allahabad/Prayagraj, Mumbai (All Areas)","Data Analysis,Business Analysis,SQL,Data Validation,Data Science,Business Reporting,Data Integrity,Tables",https://www.naukri.com/job-listings-business-reporting-analyst-with-ngo-randstad-india-pvt-ltd-udaipur-allahabad-prayagraj-mumbai-all-areas-2-to-7-years-070721006116?src=jobsearchDesk&sid=16261501528367241&xp=15&px=5,"Business Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","NGO / Social Services / Industry Associations,",Any Graduate,,
75,Icresset Talent Solutions , , ,Data Analyst,1-2 Yrs,"8,00,000 - 10,00,000 PA.",Mumbai (All Areas),"Data Science,Entry Level,Data Wrangling,Computer Science,Data Analysis,Data Maintenance,Statistical Analysis,Information Technology",https://www.naukri.com/job-listings-data-analyst-icresset-talent-solutions-mumbai-all-areas-1-to-2-years-210621000941?src=jobsearchDesk&sid=16261501528367241&xp=16&px=5,"Other,",,"Other,",Other,"Full Time, Permanent","Internet,",Any Graduate,,
76,Data is Good, , ,Power BI Content Developer,0-1 Yrs,"1,75,000 - 3,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Business Intelligence,Power Bi,Data Wrangling,Blogs,Data Management,Data Mining,Data Science,Content Development",https://www.naukri.com/job-listings-power-bi-content-developer-data-is-good-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-1-years-160621001016?src=jobsearchDesk&sid=16261501528367241&xp=17&px=5,"Content Developer,",,"Journalism, Editing, Content,",Content Development,"Full Time, Permanent","Education / Training,",Any Graduate,,
77,Intellimation Market Services Limited, , ,Data Scientist,0-4 Yrs,Not disclosed,"Pune, Mumbai (All Areas)","Natural Language Processing,Machine Learning,Python,Nltk,Data Science,Opencv,Computer Vision,Spacy",https://www.naukri.com/job-listings-data-scientist-intellimation-market-services-limited-pune-mumbai-all-areas-0-to-4-years-110621008718?src=jobsearchDesk&sid=16261501528367241&xp=18&px=5,"Technical Architect,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Analytics / KPO / Research,",B.Ed in Any Specialization,"M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization",
78,EVOLVE TECHNOLOGIES AND SERVICES PRIVATE LIMITED , , ,Data Scientist - Thane Mumbai,4-9 Yrs,Not disclosed,Mumbai (All Areas),"IT Skills,Python,Testing,Data Science,Machine Learning,Big Data,Pytorch,Tensorflow",https://www.naukri.com/job-listings-data-scientist-thane-mumbai-evolve-technologies-and-services-private-limited-mumbai-all-areas-4-to-9-years-090721007613?src=jobsearchDesk&sid=16261501528367241&xp=19&px=5,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,MS/M.Sc(Science) in Statistics,
79,Huquo Consulting Pvt. Ltd, , ,Data Scientist - Python/Power BI/SQL,1-5 Yrs,Not disclosed,Mumbai,"communication,MySQL,PowerBI,SQL,Python,Tableau,IT Skills,Data Science",https://www.naukri.com/job-listings-data-scientist-python-power-bi-sql-huquo-consulting-pvt-ltd-mumbai-1-to-5-years-060721901011?src=jobsearchDesk&sid=16261501528367241&xp=20&px=5,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,"M.A in Maths, Statistics, M.Tech in Computers, MS/M.Sc(Science) in Maths, Statistics, Computers, MCA in Computers",Doctorate Not Required
80,PlaceMinds Consulting Pvt. Ltd, , ,Senior Manager Data Scientist,8-13 Yrs,Not disclosed,"Mumbai, Pune","Predictive Modeling,Data Science,R,SAS SQL,Linear Regression,Data Analysis,Time Series,Machine Learning",https://www.naukri.com/job-listings-senior-manager-data-scientist-placeminds-consulting-pvt-ltd-mumbai-pune-8-to-13-years-160621905535?src=jobsearchDesk&sid=16261506066595393&xp=1&px=6,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Analytics / KPO / Research,",Any Graduate,Any Postgraduate,Doctorate Not Required
81,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Senior Analyst-Data Science,5-8 Yrs, Not Disclosed by Recruiter ,Mumbai,"IT Skills,Python,Data Science,Artificial Intelligence,Power BI,Analyst,Publishing,Architecture",https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-120621900709?src=jobsearchDesk&sid=16261506066595393&xp=2&px=6,Research Associate,IT Services & Consulting,"Strategy, Management Consulting, Corporate Planning",Corporate Planning/Consulting/Strategy,"Full Time, Permanent",,,,
82,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),ACN - Digital - Data & Insights - 07,8-10 Yrs, Not Disclosed by Recruiter ,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","Data Management,Cassandra,Kafka,Flume,SQL Server,Informatica IDQ,Data Science,No-SQL",https://www.naukri.com/job-listings-acn-digital-data-insights-07-accenture-solutions-pvt-ltd-mumbai-gurgaon-gurugram-bangalore-bengaluru-8-to-10-years-010721904234?src=jobsearchDesk&sid=16261506066595393&xp=3&px=6,IT/Networking-Manager,IT Services & Consulting,"IT Software - DBA, Datawarehousing",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent",,,,
83,Fractal Analytics,3.9,(97 Reviews),Data Scientist,3-7 Yrs,Not disclosed,Mumbai,"Solution architecture,Cloud computing,Publishing,data science,Business strategy,cxo,Client management,Secondary research",https://www.naukri.com/job-listings-data-scientist-fractal-analytics-ltd-mumbai-3-to-7-years-140521500062?src=jobsearchDesk&sid=16261506066595393&xp=4&px=6,"Clinical Research Associate/Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","Management Consulting,",Any Graduate,Any Postgraduate,
84,GENPACT India Private Limited,4.0,(10727 Reviews),Data Analyst/Scientist- (Counterparty Credit risk),4-9 Yrs, Not Disclosed by Recruiter ,"Hyderabad/Secunderabad, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Basel,Data Analysis,Credit Risk,data scientist,counterparty credit risk,data analyst,Python",https://www.naukri.com/job-listings-data-analyst-scientist-counterparty-credit-risk-genpact-india-private-limited-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-230621007989?src=jobsearchDesk&sid=16261506066595393&xp=5&px=6,Data Analyst,Analytics / KPO / Research,Analytics & Business Intelligence,Analytics & BI,"Full Time, Permanent",,,,
85,PROFITWHEEL DATA TECHNOLOGIES PRIVATE LIMITED, , ,Lead Data Scientist,2-4 Yrs,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling,Data Science,Statistical Modeling,Multivariate Analysis,Logistic Regression,SAS,Couchbase,Big Data",https://www.naukri.com/job-listings-lead-data-scientist-profitwheel-data-technologies-private-limited-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-2-to-4-years-240521006055?src=jobsearchDesk&sid=16261506066595393&xp=6&px=6,"System Analyst,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Advertising & Marketing,","BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Computers, Statistics","M.Tech in Computers, MCA in Computers, M.A in Statistics, MS/M.Sc(Science) in Computers",
86,Tata Unistore,3.9,(14 Reviews),Tata UniStore Limited - Data Scientist,2-6 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","Accessories,NoSQL,data science,Machine learning,Data collection,Electronics,E-commerce,Data mining",https://www.naukri.com/job-listings-tata-unistore-limited-data-scientist-tata-unistore-mumbai-bangalore-bengaluru-2-to-6-years-260521500494?src=jobsearchDesk&sid=16261506066595393&xp=7&px=6,"Bio/Pharma Informatics-Associate/Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","Travel & Tourism,",B.Tech/B.E. in Production/Industrial,M.A in Journalism,
87,Replicon Software (India) Pvt Ltd,3.8,(35 Reviews),Data Scientist,4-8 Yrs, Not Disclosed by Recruiter ,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","NLP,Machine Learning,SQL,Data Science,R,Artificial Intelligence,NLU,AI",https://www.naukri.com/job-listings-data-scientist-replicon-software-india-pvt-ltd-noida-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-8-years-010621007285?src=jobsearchDesk&sid=16261506066595393&xp=8&px=6,Data Analyst,Software Product,Analytics & Business Intelligence,Analytics & BI,"Full Time, Permanent",,,,
88,Country Veggie, , ,Data Scientist,1-3 Yrs,Not disclosed,"Bharuch, Jaipur, Bhopal, Mumbai, Jhansi, Nagpur, Ghaziabad, Jaunpur, Kanpur, New Delhi, Lucknow, Agra, Gurgaon/Gurugram, Rajkot, Bangalore/Bengaluru","PDF,Data management,data science,Machine learning,Data collection,Predictive modeling,Data mining,Business solutions",https://www.naukri.com/job-listings-data-scientist-country-veggie-ghaziabad-bhopal-lucknow-kanpur-rajkot-bengaluru-bangalore-gurgaon-agra-bharuch-jaunpur-nagpur-delhi-mumbai-jaipur-jhansi-1-to-3-years-010221500832?src=jobsearchDesk&sid=16261506066595393&xp=9&px=6,"Research Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","FMCG,",Any Graduate,Post Graduation Not Required,
89,Nikos Consulting, , ,Manager/Senior Manager - Data Governance - Consulting Firm,8-13 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","Data Science,Data Management,Data Visualization,Data Warehousing,Data Analytics,Data Governance,Analytics,SQL",https://www.naukri.com/job-listings-manager-senior-manager-data-governance-consulting-firm-nikos-consulting-mumbai-gurgaon-gurugram-bangalore-bengaluru-8-to-13-years-270221900333?src=jobsearchDesk&sid=16261506066595393&xp=10&px=6,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Management Consulting,",B.Tech/B.E. in Any Specialization,"MBA/PGDM in Any Specialization, M.A in Economics",Doctorate Not Required
90,Fundnel Limited, , ,Senior Data Scientist,3-5 Yrs,Not disclosed,Mumbai,"Mining,Computer science,Logistic regression,Financial statements,data science,Data modeling,Machine learning,Data mining",https://www.naukri.com/job-listings-senior-data-scientist-fundnel-limited-mumbai-3-to-5-years-090221500858?src=jobsearchDesk&sid=16261506066595393&xp=11&px=6,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Internet,",Any Graduate,Any Postgraduate,
91,TurboHire Technologies Pvt. Ltd.   , , ,Data Scientist,2-4 Yrs,Not disclosed,Mumbai,"Nltk,Tensorflow,Data Science,R,NLP,Natural Language Processing,Keras,Machine Learning",https://www.naukri.com/job-listings-data-scientist-turbohire-technologies-pvt-ltd-mumbai-2-to-4-years-050721001003?src=jobsearchDesk&sid=16261506066595393&xp=12&px=6,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Internet,",B.Tech/B.E. in Any Specialization,,
92,Yogy HR Solutions, , ,Data Scientist - Machine Learning/Statistical Modeling,5-9 Yrs,Not disclosed,Mumbai,"analytics,machine learning,statistical modelling,IT Skills,Data Science,Regression Algorithms,Data Scientist,Statistical Modeling",https://www.naukri.com/job-listings-data-scientist-machine-learning-statistical-modeling-yogy-hr-solutions-mumbai-5-to-9-years-280621904567?src=jobsearchDesk&sid=16261506066595393&xp=13&px=6,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,","B.A in Economics, Statistics, Maths, B.Sc in Maths, Statistics","M.A in Maths, MS/M.Sc(Science) in Maths",Doctorate Not Required
93,PERSOLKELLY INDIA PRIVATE LIMITED , , ,Data Scientist,2-5 Yrs,"8,00,000 - 12,00,000 PA.",Mumbai (All Areas),"Data Science,Predictive Analytics,Artificial Intelligence,Data Analysis,Statistical Modeling,SQL Server,Seaborn,Machine Learning",https://www.naukri.com/job-listings-data-scientist-persolkelly-india-private-limited-mumbai-all-areas-2-to-5-years-180621004195?src=jobsearchDesk&sid=16261506066595393&xp=14&px=6,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Analytics / KPO / Research,",Any Graduate,,
94,Morningstar,4.2,(162 Reviews),Hiring - Data Research Analyst - Equity Operations,0-2 Yrs,"3,00,000 - 4,00,000 PA.",Mumbai(Sector 30A Vashi),"Data Research,Financial Analysis,Finance,Research Analysis,Fundamentals,Equity,Data Collection",https://www.naukri.com/job-listings-hiring-data-research-analyst-equity-operations-morningstar-india-p-ltd-mumbai-0-to-2-years-060721006088?src=jobsearchDesk&sid=16261506066595393&xp=15&px=6,"Financial Analyst,",,"Accounts, Finance, Tax, Company Secretary, Audit,",Finance/Audit,"Full Time, Permanent","Banking,","B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization","MBA/PGDM in Any Specialization, M.Com in Any Specialization, PG Diploma in Any Specialization",
95,Mount Talent Consulting Private Limited , , ,Data Scientist,3-8 Yrs,"10,00,000 - 20,00,000 PA.","Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","IT Skills,Data Science,Cloud,Big Data,Business Strategy,Corporate Strategy,Hive,Cloud Computing",https://www.naukri.com/job-listings-data-scientist-mount-talent-consulting-private-limited-mumbai-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-190521602628?src=jobsearchDesk&sid=16261506066595393&xp=16&px=6,"Technical Architect,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Software Product,",B.Tech/B.E. in Any Specialization,,
96,SKILLVENTORY, , ,Lead – Data Engineer For a leading NBFC,8-13 Yrs,Not disclosed,Mumbai,"Data Science,Data Quality,Metadata Management,Execution,Project Management,Data Modeling,Solution Design,Analytics",https://www.naukri.com/job-listings-lead-data-engineer-for-a-leading-nbfc-skillventory-mumbai-8-to-13-years-090721601101?src=jobsearchDesk&sid=16261506066595393&xp=17&px=6,"Technology Manager,",,"Financial Services, Banking, Investments, Insurance,",Operations/Processes/Finance/Legal,"Full Time, Permanent","Banking,",BCA in Any Specialization,,
97,Hexaware Technologies Ltd.,3.5,(1663 Reviews),Sr. MS BI Developer/Data Analyst/Lead - SSIS/SSRS/SSAS,3-8 Yrs, Not Disclosed by Recruiter ,"Mumbai, Pune, Chennai","SSRS,MS SSIS,ETL,SSAS,MSBI,SSIS",https://www.naukri.com/job-listings-sr-ms-bi-developer-data-analyst-lead-ssis-ssrs-ssas-hexaware-technologies-ltd-mumbai-pune-chennai-3-to-8-years-101120005209?src=jobsearchDesk&sid=16261506066595393&xp=18&px=6,Database Architect/Designer,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Programming & Design,"Full Time, Permanent",,,,
98,TurboHire Technologies Pvt. Ltd.   , , ,Senior Campaign Analyst,4-6 Yrs,Not disclosed,Mumbai,"Data Science,Pyspark,R,Exploratory Data Analysis,Data Engineering,Finance,Octave,Tableau",https://www.naukri.com/job-listings-senior-campaign-analyst-turbohire-technologies-pvt-ltd-mumbai-4-to-6-years-060721009026?src=jobsearchDesk&sid=16261506066595393&xp=19&px=6,"Team Lead/Technical Lead,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,,
99,Shaadi.com,3.7,(69 Reviews),Data Scientist,2-3 Yrs,Not disclosed,Mumbai,"Computer science,tableau,Image processing,data science,Machine learning,Predictive modeling,Natural language processing,big data",https://www.naukri.com/job-listings-data-scientist-shaadi-com-mumbai-2-to-3-years-310820501669?src=jobsearchDesk&sid=16261506066595393&xp=20&px=6,"Clinical Research Associate/Scientist,",,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,",R&D,"Full Time, Permanent","Internet,","Diploma in Mechanical, Any Graduate",Any Postgraduate,
100,ExecBoardinAsia, , ,Customer Facing Data Scientist,5-10 Yrs,Not disclosed,Mumbai,"Automation,Product engineering,data science,Presales,Account management,Sales process,field engineering,Financial services",https://www.naukri.com/job-listings-customer-facing-data-scientist-execboardinasia-mumbai-5-to-10-years-300421500222?src=jobsearchDesk&sid=16261509559583860&xp=1&px=7,"Technical Support Engineer,",,"IT Software - Application Programming, Maintenance,",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent","Recruitment / Staffing,",B.Tech/B.E. in Any Specialization,Post Graduation Not Required,
101,Acidaes Solutions Pvt. Ltd.,3.5,(67 Reviews),Data Scientist || Immediate resources || Mumbai,1-5 Yrs,"5,00,000 - 10,00,000 PA.",Mumbai (All Areas),"Machine Learning,Data Science,Python,IT Skills,Cloud,Big Data,Predictive Modeling,Requirement Gathering",https://www.naukri.com/job-listings-data-scientist-immediate-resources-mumbai-acidaes-solutions-pvt-ltd-mumbai-all-areas-1-to-5-years-280521604086?src=jobsearchDesk&sid=16261509559583860&xp=2&px=7,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Any Postgraduate,
